vehicle_id,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
A2V12-test,A2G4-001,A2G4,standard,0,0,0,40,35,35,1,floor
A2V12-test,A2G4-002,A2G4,standard,40,0,0,40,35,35,1,floor
A2V12-test,A2G4-003,A2G4,standard,80,0,0,40,35,35,1,floor
A2V12-test,A2G4-004,A2G4,standard,120,0,0,40,35,35,1,floor
A2V12-test,A2G4-005,A2G4,standard,160,0,0,40,35,35,1,floor
A2V12-test,A2G4-006,A2G4,standard,200,0,0,40,35,35,1,floor
A2V12-test,A2G4-007,A2G4,standard,240,0,0,40,35,35,1,floor
A2V12-test,A2G4-008,A2G4,standard,280,0,0,40,35,35,1,floor
A2V12-test,A2G4-009,A2G4,standard,320,0,0,40,35,35,1,floor
A2V12-test,A2G4-010,A2G4,standard,360,0,0,40,35,35,1,floor
A2V12-test,A2G7-001,A2G7,standard,400,0,0,44,43,23,1,floor
A2V12-test,A2G7-002,A2G7,standard,444,0,0,44,43,23,1,floor
A2V12-test,A2G7-003,A2G7,standard,488,0,0,44,43,23,1,floor
A2V12-test,A2G7-004,A2G7,standard,532,0,0,44,43,23,1,floor
A2V12-test,A2G7-005,A2G7,standard,576,0,0,44,43,23,1,floor
A2V12-test,A2G7-006,A2G7,standard,620,0,0,23,44,43,1,floor
A2V12-test,A2G7-007,A2G7,standard,0,35,0,44,43,23,1,floor
A2V12-test,A2G7-008,A2G7,standard,44,35,0,44,43,23,1,floor
A2V12-test,A2G7-009,A2G7,standard,88,35,0,44,43,23,1,floor
A2V12-test,A2G7-010,A2G7,standard,132,35,0,44,43,23,1,floor
A2V12-test,A2G5-001,A2G5,standard,176,35,0,39,33,33,1,floor
A2V12-test,A2G5-002,A2G5,standard,215,35,0,39,33,33,1,floor
A2V12-test,A2G5-003,A2G5,standard,254,35,0,39,33,33,1,floor
A2V12-test,A2G5-004,A2G5,standard,293,35,0,39,33,33,1,floor
A2V12-test,A2G5-005,A2G5,standard,332,35,0,39,33,33,1,floor
A2V12-test,A2G5-006,A2G5,standard,400,43,0,39,33,33,1,floor
A2V12-test,A2G5-007,A2G5,standard,439,43,0,39,33,33,1,floor
A2V12-test,A2G5-008,A2G5,standard,478,43,0,39,33,33,1,floor
A2V12-test,A2G5-009,A2G5,standard,517,43,0,39,33,33,1,floor
A2V12-test,A2G5-010,A2G5,standard,556,43,0,39,33,33,1,floor
A2V12-test,A2G6-001,A2G6,standard,371,35,0,23,44,37,1,floor
A2V12-test,A2G6-002,A2G6,standard,595,43,0,23,44,37,1,floor
