code,name,length,width,height,capacity,cost
A2V1,单节柜,580,235,239,1000000000,3625
A2V2,集装箱,1200,235,239,1000000000,2000
A2V3,超高柜,1200,235,269,1000000000,3900
A2V4,4.2米箱货,400,180,165,1000000000,2800
A2V5,6.2米箱货,590,190,190,1000000000,4500
A2V6,6.8米箱货,660,229,220,1000000000,5000
A2V7,9.6米箱货,940,229,220,1000000000,6500
A2V8,17米箱货,1670,229,220,1000000000,11000
A2V9,4.2低栏板,400,210,50,1000000000,3500
A2V10,4.2高栏,400,210,160,1000000000,4000
A2V11,6米8高栏,660,229,160,1000000000,5000
A2V12,6米8低栏板,660,229,50,1000000000,4500
A2V13,9米6高栏,940,229,160,1000000000,7000
A2V14,9米6低栏板,940,229,50,1000000000,5000
A2V15,13米高栏,1294,229,160,1000000000,9000
A2V16,13米高低板,400,229,160,1000000000,8800
