vehicle_id,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
elastic-V1-1,G2-001,G2,standard,0,0,0,35,50,25,8,floor
elastic-V1-1,G2-002,G2,standard,35,0,0,35,50,25,8,floor
elastic-V1-1,G3-001,G3,fragile,0,0,25,70,50,40,15,G2-001|G2-002
elastic-V1-1,G2-003,G2,standard,140,0,0,35,50,25,8,floor
elastic-V1-1,G2-004,G2,standard,175,0,0,35,50,25,8,floor
elastic-V1-1,G3-002,G3,fragile,140,0,25,70,50,40,15,G2-003|G2-004
elastic-V1-1,G2-005,G2,standard,280,0,0,35,50,25,8,floor
elastic-V1-1,G2-006,G2,standard,315,0,0,35,50,25,8,floor
elastic-V1-1,G3-003,G3,fragile,280,0,25,70,50,40,15,G2-005|G2-006
elastic-V1-1,G2-007,G2,standard,70,50,0,35,50,25,8,floor
elastic-V1-1,G2-008,G2,standard,105,50,0,35,50,25,8,floor
elastic-V1-1,G3-004,G3,fragile,70,50,25,70,50,40,15,G2-007|G2-008
elastic-V1-1,G2-009,G2,standard,210,50,0,35,50,25,8,floor
elastic-V1-1,G2-010,G2,standard,245,50,0,35,50,25,8,floor
elastic-V1-1,G3-005,G3,fragile,210,50,25,70,50,40,15,G2-009|G2-010
elastic-V1-1,G2-011,G2,standard,350,50,0,35,50,25,8,floor
elastic-V1-1,G2-012,G2,standard,385,50,0,35,50,25,8,floor
elastic-V1-1,G3-006,G3,fragile,350,50,25,70,50,40,15,G2-011|G2-012
elastic-V1-1,G2-013,G2,standard,0,100,0,35,50,25,8,floor
elastic-V1-1,G2-014,G2,standard,35,100,0,35,50,25,8,floor
elastic-V1-1,G3-007,G3,fragile,0,100,25,70,50,40,15,G2-013|G2-014
elastic-V1-1,G2-015,G2,standard,140,100,0,35,50,25,8,floor
elastic-V1-1,G2-016,G2,standard,175,100,0,35,50,25,8,floor
elastic-V1-1,G3-008,G3,fragile,140,100,25,70,50,40,15,G2-015|G2-016
elastic-V1-1,G2-017,G2,standard,280,100,0,35,50,25,8,floor
elastic-V1-1,G2-018,G2,standard,315,100,0,35,50,25,8,floor
elastic-V1-1,G3-009,G3,fragile,280,100,25,70,50,40,15,G2-017|G2-018
elastic-V1-1,G2-019,G2,standard,70,150,0,35,50,25,8,floor
elastic-V1-1,G2-020,G2,standard,105,150,0,35,50,25,8,floor
elastic-V1-1,G3-010,G3,fragile,70,150,25,70,50,40,15,G2-019|G2-020
elastic-V1-1,G2-021,G2,standard,210,150,0,35,50,25,8,floor
elastic-V1-1,G2-022,G2,standard,245,150,0,35,50,25,8,floor
elastic-V1-1,G3-011,G3,fragile,210,150,25,70,50,40,15,G2-021|G2-022
elastic-V1-1,G2-023,G2,standard,350,150,0,35,50,25,8,floor
elastic-V1-1,G2-024,G2,standard,385,150,0,35,50,25,8,floor
elastic-V1-1,G3-012,G3,fragile,350,150,25,70,50,40,15,G2-023|G2-024
elastic-V1-1,G5-001,G5,directed,70,0,0,40,40,60,18,floor
elastic-V1-1,G5-002,G5,directed,210,0,0,40,40,60,18,floor
elastic-V1-1,G5-003,G5,directed,350,0,0,40,40,60,18,floor
elastic-V1-1,G5-004,G5,directed,0,50,0,40,40,60,18,floor
elastic-V1-1,G5-005,G5,directed,140,50,0,40,40,60,18,floor
elastic-V1-1,G5-006,G5,directed,280,50,0,40,40,60,18,floor
elastic-V1-1,G5-007,G5,directed,70,100,0,40,40,60,18,floor
elastic-V1-1,G5-008,G5,directed,210,100,0,40,40,60,18,floor
elastic-V1-1,G5-009,G5,directed,350,100,0,40,40,60,18,floor
elastic-V1-1,G5-010,G5,directed,0,150,0,40,40,60,18,floor
elastic-V1-1,G5-011,G5,directed,140,150,0,40,40,60,18,floor
elastic-V1-1,G5-012,G5,directed,280,150,0,40,40,60,18,floor
elastic-V1-1,G5-013,G5,directed,70,0,60,40,40,60,18,G5-001
elastic-V1-1,G5-014,G5,directed,210,0,60,40,40,60,18,G5-002
elastic-V1-1,G5-015,G5,directed,350,0,60,40,40,60,18,G5-003
elastic-V1-1,G5-016,G5,directed,0,50,60,40,40,60,18,G5-004
elastic-V1-1,G5-017,G5,directed,140,50,60,40,40,60,18,G5-005
elastic-V1-1,G5-018,G5,directed,280,50,60,40,40,60,18,G5-006
elastic-V1-1,G5-019,G5,directed,70,100,60,40,40,60,18,G5-007
elastic-V1-1,G5-020,G5,directed,210,100,60,40,40,60,18,G5-008
elastic-V1-1,G5-021,G5,directed,350,100,60,40,40,60,18,G5-009
elastic-V1-1,G5-022,G5,directed,0,150,60,40,40,60,18,G5-010
elastic-V1-1,G5-023,G5,directed,140,150,60,40,40,60,18,G5-011
elastic-V1-1,G5-024,G5,directed,280,150,60,40,40,60,18,G5-012
elastic-V1-1,G5-025,G5,directed,70,0,120,40,40,60,18,G5-013
elastic-V1-1,G4-001,G4,directed,210,0,120,80,60,50,25,G5-014
elastic-V1-1,G4-002,G4,directed,110,40,120,80,60,50,25,G5-017
elastic-V1-1,G4-003,G4,directed,0,50,120,80,60,50,25,G5-016
elastic-V1-1,G4-004,G4,directed,190,90,120,80,60,50,25,G5-020
elastic-V1-1,G4-005,G4,directed,330,90,120,80,60,50,25,G5-021
elastic-V1-1,G4-006,G4,directed,0,150,120,80,60,50,25,G5-022
elastic-V1-1,G4-007,G4,directed,140,150,120,80,60,50,25,G5-023
elastic-V1-1,G4-008,G4,directed,270,150,120,80,60,50,25,G5-024
elastic-V1-1,G1-001,G1,standard,80,50,170,60,40,30,12,G4-002
elastic-V1-1,G1-002,G1,standard,210,60,170,30,60,40,12,G4-004
elastic-V1-1,G1-003,G1,standard,240,60,170,30,60,40,12,G4-004
elastic-V1-1,G1-004,G1,standard,190,150,170,60,30,40,12,G4-007
