style,fixed_count,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count
checker,12,268,32,"{'G4': 26, 'G3': 6}",129,139,"{'G2': 50, 'G3': 12, 'G5': 25, 'G1': 35, 'G4': 7}","{'G2': 50, 'G3': 12, 'G5': 25, 'G1': 45, 'G4': 7}",0.5657178385947312,0.2808333333333333,200.0,24,0,24,0
checker,12,264,36,"{'G4': 30, 'G3': 6}",117,147,"{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 5, 'G1': 25}","{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 5, 'G1': 55}",0.5406386825083336,0.27249999999999996,156.25,24,0,24,0
checker,12,270,30,"{'G4': 24, 'G3': 6}",133,137,"{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 8, 'G1': 38}","{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 8, 'G1': 42}",0.5782574166379302,0.28500000000000003,156.25,24,0,24,0
checker,13,264,36,"{'G4': 32, 'G3': 4}",126,138,"{'G2': 50, 'G3': 13, 'G5': 25, 'G1': 34, 'G4': 4}","{'G2': 50, 'G3': 13, 'G5': 25, 'G1': 46, 'G4': 4}",0.5354138583236674,0.27083333333333337,156.25,26,0,26,0
checker,13,264,36,"{'G4': 32, 'G3': 4}",125,139,"{'G2': 50, 'G3': 13, 'G5': 25, 'G1': 33, 'G4': 4}","{'G2': 50, 'G3': 13, 'G5': 25, 'G1': 47, 'G4': 4}",0.5354138583236674,0.27083333333333337,156.25,26,0,26,0
checker,13,268,32,"{'G4': 24, 'G1': 4, 'G3': 4}",134,134,"{'G2': 50, 'G3': 13, 'G5': 25, 'G4': 8, 'G1': 38}","{'G2': 50, 'G3': 13, 'G5': 25, 'G4': 8, 'G1': 38}",0.5780484236705434,0.2835,156.25,26,0,26,0
checker,14,266,34,"{'G4': 32, 'G3': 2}",133,133,"{'G2': 50, 'G3': 14, 'G5': 25, 'G1': 40, 'G4': 4}","{'G2': 50, 'G3': 14, 'G5': 25, 'G1': 40, 'G4': 4}",0.5427286121822,0.2733333333333333,156.25,28,0,28,0
checker,14,266,34,"{'G4': 32, 'G3': 2}",133,133,"{'G2': 50, 'G3': 14, 'G5': 25, 'G1': 40, 'G4': 4}","{'G2': 50, 'G3': 14, 'G5': 25, 'G1': 40, 'G4': 4}",0.5427286121822,0.2733333333333333,156.25,28,0,28,0
checker,14,268,32,"{'G4': 30, 'G3': 2}",134,134,"{'G2': 50, 'G3': 14, 'G5': 25, 'G4': 5, 'G1': 40}","{'G2': 50, 'G3': 14, 'G5': 25, 'G4': 5, 'G1': 40}",0.5552681902253989,0.2775,156.25,28,0,28,0
left_first,12,208,92,"{'G1': 74, 'G2': 12, 'G3': 6}",104,104,"{'G2': 44, 'G3': 12, 'G4': 20, 'G5': 25, 'G1': 3}","{'G2': 44, 'G3': 12, 'G4': 20, 'G5': 25, 'G1': 3}",0.5758278733920603,0.253,200.0,24,0,24,0
left_first,12,214,86,"{'G1': 80, 'G3': 6}",107,107,"{'G2': 50, 'G3': 12, 'G4': 20, 'G5': 25}","{'G2': 50, 'G3': 12, 'G4': 20, 'G5': 25}",0.5782574166379302,0.255,200.0,24,0,24,0
left_first,12,248,52,"{'G4': 16, 'G1': 30, 'G3': 6}",124,124,"{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 12, 'G1': 25}","{'G2': 50, 'G3': 12, 'G5': 25, 'G4': 12, 'G1': 25}",0.5719876276163307,0.27166666666666667,182.85714285714286,24,0,24,0
