vehicle_id,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
g2full-V1-1,G2-001,G2,standard,0,0,0,35,50,25,8,floor
g2full-V1-1,G2-002,G2,standard,35,0,0,35,50,25,8,floor
g2full-V1-1,G3-001,G3,fragile,0,0,25,70,50,40,15,G2-001|G2-002
g2full-V1-1,G2-003,G2,standard,70,0,0,35,50,25,8,floor
g2full-V1-1,G2-004,G2,standard,105,0,0,35,50,25,8,floor
g2full-V1-1,G3-002,G3,fragile,70,0,25,70,50,40,15,G2-003|G2-004
g2full-V1-1,G2-005,G2,standard,140,0,0,35,50,25,8,floor
g2full-V1-1,G2-006,G2,standard,175,0,0,35,50,25,8,floor
g2full-V1-1,G3-003,G3,fragile,140,0,25,70,50,40,15,G2-005|G2-006
g2full-V1-1,G2-007,G2,standard,210,0,0,35,50,25,8,floor
g2full-V1-1,G2-008,G2,standard,245,0,0,35,50,25,8,floor
g2full-V1-1,G3-004,G3,fragile,210,0,25,70,50,40,15,G2-007|G2-008
g2full-V1-1,G2-009,G2,standard,280,0,0,35,50,25,8,floor
g2full-V1-1,G2-010,G2,standard,315,0,0,35,50,25,8,floor
g2full-V1-1,G3-005,G3,fragile,280,0,25,70,50,40,15,G2-009|G2-010
g2full-V1-1,G2-011,G2,standard,0,80,0,35,50,25,8,floor
g2full-V1-1,G2-012,G2,standard,35,80,0,35,50,25,8,floor
g2full-V1-1,G3-006,G3,fragile,0,80,25,70,50,40,15,G2-011|G2-012
g2full-V1-1,G2-013,G2,standard,70,80,0,35,50,25,8,floor
g2full-V1-1,G2-014,G2,standard,105,80,0,35,50,25,8,floor
g2full-V1-1,G3-007,G3,fragile,70,80,25,70,50,40,15,G2-013|G2-014
g2full-V1-1,G2-015,G2,standard,140,80,0,35,50,25,8,floor
g2full-V1-1,G2-016,G2,standard,175,80,0,35,50,25,8,floor
g2full-V1-1,G3-008,G3,fragile,140,80,25,70,50,40,15,G2-015|G2-016
g2full-V1-1,G2-017,G2,standard,210,80,0,35,50,25,8,floor
g2full-V1-1,G2-018,G2,standard,245,80,0,35,50,25,8,floor
g2full-V1-1,G3-009,G3,fragile,210,80,25,70,50,40,15,G2-017|G2-018
g2full-V1-1,G2-019,G2,standard,280,80,0,35,50,25,8,floor
g2full-V1-1,G2-020,G2,standard,315,80,0,35,50,25,8,floor
g2full-V1-1,G3-010,G3,fragile,280,80,25,70,50,40,15,G2-019|G2-020
g2full-V1-1,G2-021,G2,standard,0,160,0,35,50,25,8,floor
g2full-V1-1,G2-022,G2,standard,35,160,0,35,50,25,8,floor
g2full-V1-1,G3-011,G3,fragile,0,160,25,70,50,40,15,G2-021|G2-022
g2full-V1-1,G2-023,G2,standard,70,160,0,35,50,25,8,floor
g2full-V1-1,G2-024,G2,standard,105,160,0,35,50,25,8,floor
g2full-V1-1,G3-012,G3,fragile,70,160,25,70,50,40,15,G2-023|G2-024
g2full-V1-1,G2-025,G2,standard,140,160,0,35,50,25,8,floor
g2full-V1-1,G2-026,G2,standard,175,160,0,35,50,25,8,floor
g2full-V1-1,G3-013,G3,fragile,140,160,25,70,50,40,15,G2-025|G2-026
g2full-V1-1,G2-027,G2,standard,210,160,0,35,50,25,8,floor
g2full-V1-1,G2-028,G2,standard,245,160,0,35,50,25,8,floor
g2full-V1-1,G3-014,G3,fragile,210,160,25,70,50,40,15,G2-027|G2-028
g2full-V1-1,G2-029,G2,standard,280,160,0,35,50,25,8,floor
g2full-V1-1,G2-030,G2,standard,315,160,0,35,50,25,8,floor
g2full-V1-1,G3-015,G3,fragile,280,160,25,70,50,40,15,G2-029|G2-030
g2full-V1-1,G5-001,G5,directed,350,0,0,40,40,60,18,floor
