style,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count
left_block,182,118,"{'G1': 46, 'G2': 40, 'G5': 32}",91,91,"{'G2': 30, 'G3': 15, 'G4': 20, 'G5': 9, 'G1': 17}","{'G2': 30, 'G3': 15, 'G4': 20, 'G5': 9, 'G1': 17}",0.5381830151415404,0.22183333333333333,112.5,30,0,30,0
left_block,194,106,"{'G1': 74, 'G5': 32}",97,97,"{'G2': 50, 'G3': 15, 'G4': 20, 'G5': 9, 'G1': 3}","{'G2': 50, 'G3': 15, 'G4': 20, 'G5': 9, 'G1': 3}",0.5312339989759345,0.2205,112.5,30,0,30,0
left_block,220,80,"{'G1': 12, 'G2': 40, 'G4': 28}",110,110,"{'G2': 30, 'G3': 15, 'G5': 25, 'G4': 6, 'G1': 34}","{'G2': 30, 'G3': 15, 'G5': 25, 'G4': 6, 'G1': 34}",0.5068340700335434,0.2455,156.25,30,0,30,0
right_block,218,82,"{'G1': 56, 'G4': 6, 'G5': 20}",109,109,"{'G2': 50, 'G3': 15, 'G4': 17, 'G5': 15, 'G1': 12}","{'G2': 50, 'G3': 15, 'G4': 17, 'G5': 15, 'G1': 12}",0.5575671128666521,0.244,142.85714285714286,30,0,30,0
right_block,226,74,"{'G1': 46, 'G4': 8, 'G5': 20}",113,113,"{'G2': 50, 'G3': 15, 'G4': 16, 'G5': 15, 'G1': 17}","{'G2': 50, 'G3': 15, 'G4': 16, 'G5': 15, 'G1': 17}",0.5638369018882514,0.24983333333333332,128.0,30,0,30,0
right_block,226,74,"{'G1': 48, 'G4': 26}",113,113,"{'G2': 50, 'G3': 15, 'G5': 25, 'G4': 7, 'G1': 16}","{'G2': 50, 'G3': 15, 'G5': 25, 'G4': 7, 'G1': 16}",0.4973771382592976,0.24033333333333334,156.25,30,0,30,0
rear_block,218,82,"{'G1': 2, 'G2': 40, 'G4': 40}",109,109,"{'G2': 30, 'G3': 15, 'G5': 25, 'G1': 39}","{'G2': 30, 'G3': 15, 'G5': 25, 'G1': 39}",0.4504059688391486,0.2305,112.5,30,0,30,0
rear_block,222,78,"{'G1': 38, 'G4': 40}",111,111,"{'G2': 50, 'G3': 15, 'G5': 25, 'G1': 21}","{'G2': 50, 'G3': 15, 'G5': 25, 'G1': 21}",0.4284094590217039,0.22116666666666668,112.5,30,0,30,0
rear_block,224,76,"{'G1': 12, 'G2': 34, 'G4': 30}",112,112,"{'G2': 33, 'G3': 15, 'G5': 25, 'G4': 5, 'G1': 34}","{'G2': 33, 'G3': 15, 'G5': 25, 'G4': 5, 'G1': 34}",0.5011520737327189,0.24533333333333332,156.25,30,0,30,0
striped,266,34,"{'G4': 22, 'G5': 12}",133,133,"{'G2': 50, 'G3': 15, 'G5': 19, 'G1': 40, 'G4': 9}","{'G2': 50, 'G3': 15, 'G5': 19, 'G1': 40, 'G4': 9}",0.5826462689530497,0.2786666666666667,150.0,30,0,30,0
striped,234,66,"{'G1': 50, 'G4': 16}",117,117,"{'G2': 50, 'G3': 15, 'G5': 25, 'G1': 15, 'G4': 12}","{'G2': 50, 'G3': 15, 'G5': 25, 'G1': 15, 'G4': 12}",0.5563131550623321,0.25916666666666666,150.0,30,0,30,0
striped,270,30,{'G4': 30},135,135,"{'G2': 50, 'G3': 15, 'G5': 25, 'G1': 40, 'G4': 5}","{'G2': 50, 'G3': 15, 'G5': 25, 'G1': 40, 'G4': 5}",0.5625829440839316,0.28,205.71428571428572,30,0,30,0
