vehicle_id,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
platform-V1-1,G2-001,G2,standard,0,0,0,35,50,25,8,floor
platform-V1-1,G2-002,G2,standard,35,0,0,35,50,25,8,floor
platform-V1-1,G3-001,G3,fragile,0,0,25,70,50,40,15,G2-001|G2-002
platform-V1-1,G2-003,G2,standard,140,0,0,35,50,25,8,floor
platform-V1-1,G2-004,G2,standard,175,0,0,35,50,25,8,floor
platform-V1-1,G3-002,G3,fragile,140,0,25,70,50,40,15,G2-003|G2-004
platform-V1-1,G2-005,G2,standard,280,0,0,35,50,25,8,floor
platform-V1-1,G2-006,G2,standard,315,0,0,35,50,25,8,floor
platform-V1-1,G3-003,G3,fragile,280,0,25,70,50,40,15,G2-005|G2-006
platform-V1-1,G2-007,G2,standard,70,50,0,35,50,25,8,floor
platform-V1-1,G2-008,G2,standard,105,50,0,35,50,25,8,floor
platform-V1-1,G3-004,G3,fragile,70,50,25,70,50,40,15,G2-007|G2-008
platform-V1-1,G2-009,G2,standard,210,50,0,35,50,25,8,floor
platform-V1-1,G2-010,G2,standard,245,50,0,35,50,25,8,floor
platform-V1-1,G3-005,G3,fragile,210,50,25,70,50,40,15,G2-009|G2-010
platform-V1-1,G2-011,G2,standard,350,50,0,35,50,25,8,floor
platform-V1-1,G2-012,G2,standard,385,50,0,35,50,25,8,floor
platform-V1-1,G3-006,G3,fragile,350,50,25,70,50,40,15,G2-011|G2-012
platform-V1-1,G2-013,G2,standard,0,100,0,35,50,25,8,floor
platform-V1-1,G2-014,G2,standard,35,100,0,35,50,25,8,floor
platform-V1-1,G3-007,G3,fragile,0,100,25,70,50,40,15,G2-013|G2-014
platform-V1-1,G2-015,G2,standard,140,100,0,35,50,25,8,floor
platform-V1-1,G2-016,G2,standard,175,100,0,35,50,25,8,floor
platform-V1-1,G3-008,G3,fragile,140,100,25,70,50,40,15,G2-015|G2-016
platform-V1-1,G2-017,G2,standard,280,100,0,35,50,25,8,floor
platform-V1-1,G2-018,G2,standard,315,100,0,35,50,25,8,floor
platform-V1-1,G3-009,G3,fragile,280,100,25,70,50,40,15,G2-017|G2-018
platform-V1-1,G2-019,G2,standard,70,150,0,35,50,25,8,floor
platform-V1-1,G2-020,G2,standard,105,150,0,35,50,25,8,floor
platform-V1-1,G3-010,G3,fragile,70,150,25,70,50,40,15,G2-019|G2-020
platform-V1-1,G2-021,G2,standard,210,150,0,35,50,25,8,floor
platform-V1-1,G2-022,G2,standard,245,150,0,35,50,25,8,floor
platform-V1-1,G3-011,G3,fragile,210,150,25,70,50,40,15,G2-021|G2-022
platform-V1-1,G2-023,G2,standard,350,150,0,35,50,25,8,floor
platform-V1-1,G2-024,G2,standard,385,150,0,35,50,25,8,floor
platform-V1-1,G3-012,G3,fragile,350,150,25,70,50,40,15,G2-023|G2-024
platform-V1-1,G2-025,G2,standard,70,0,0,35,50,25,8,floor
platform-V1-1,G2-026,G2,standard,105,0,0,35,50,25,8,floor
platform-V1-1,G3-013,G3,fragile,70,0,25,70,50,40,15,G2-025|G2-026
platform-V1-1,G2-027,G2,standard,210,0,0,35,50,25,8,floor
platform-V1-1,G2-028,G2,standard,245,0,0,35,50,25,8,floor
platform-V1-1,G3-014,G3,fragile,210,0,25,70,50,40,15,G2-027|G2-028
platform-V1-1,G2-029,G2,standard,350,0,0,35,50,25,8,floor
platform-V1-1,G2-030,G2,standard,385,0,0,35,50,25,8,floor
platform-V1-1,G3-015,G3,fragile,350,0,25,70,50,40,15,G2-029|G2-030
platform-V1-1,G5-001,G5,directed,0,50,0,40,40,60,18,floor
platform-V1-1,G5-002,G5,directed,140,50,0,40,40,60,18,floor
platform-V1-1,G5-003,G5,directed,280,50,0,40,40,60,18,floor
platform-V1-1,G5-004,G5,directed,70,100,0,40,40,60,18,floor
platform-V1-1,G5-005,G5,directed,210,100,0,40,40,60,18,floor
platform-V1-1,G5-006,G5,directed,350,100,0,40,40,60,18,floor
platform-V1-1,G5-007,G5,directed,0,150,0,40,40,60,18,floor
platform-V1-1,G5-008,G5,directed,140,150,0,40,40,60,18,floor
platform-V1-1,G5-009,G5,directed,280,150,0,40,40,60,18,floor
