vehicle_id,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
inverse-V1-1,G2-001,G2,standard,0,0,0,35,50,25,8,floor
inverse-V1-1,G2-002,G2,standard,35,0,0,35,50,25,8,floor
inverse-V1-1,G3-001,G3,fragile,0,0,25,70,50,40,15,G2-001|G2-002
inverse-V1-1,G2-003,G2,standard,140,0,0,35,50,25,8,floor
inverse-V1-1,G2-004,G2,standard,175,0,0,35,50,25,8,floor
inverse-V1-1,G3-002,G3,fragile,140,0,25,70,50,40,15,G2-003|G2-004
inverse-V1-1,G4-001,G4,directed,210,0,0,80,60,50,25,floor
inverse-V1-1,G4-002,G4,directed,290,0,0,80,60,50,25,floor
inverse-V1-1,G4-003,G4,directed,0,50,0,80,60,50,25,floor
inverse-V1-1,G4-004,G4,directed,80,50,0,80,60,50,25,floor
inverse-V1-1,G4-005,G4,directed,210,60,0,80,60,50,25,floor
inverse-V1-1,G4-006,G4,directed,290,60,0,80,60,50,25,floor
inverse-V1-1,G4-007,G4,directed,0,110,0,80,60,50,25,floor
inverse-V1-1,G4-008,G4,directed,80,110,0,80,60,50,25,floor
inverse-V1-1,G4-009,G4,directed,210,120,0,80,60,50,25,floor
inverse-V1-1,G4-010,G4,directed,290,120,0,80,60,50,25,floor
inverse-V1-1,G4-011,G4,directed,210,0,50,80,60,50,25,G4-001
inverse-V1-1,G4-012,G4,directed,290,0,50,80,60,50,25,G4-002
inverse-V1-1,G4-013,G4,directed,0,50,50,80,60,50,25,G4-003
inverse-V1-1,G4-014,G4,directed,80,50,50,80,60,50,25,G4-004
inverse-V1-1,G4-015,G4,directed,210,60,50,80,60,50,25,G4-005
inverse-V1-1,G4-016,G4,directed,290,60,50,80,60,50,25,G4-006
inverse-V1-1,G4-017,G4,directed,0,110,50,80,60,50,25,G4-007
inverse-V1-1,G4-018,G4,directed,80,110,50,80,60,50,25,G4-008
inverse-V1-1,G4-019,G4,directed,210,120,50,80,60,50,25,G4-009
inverse-V1-1,G4-020,G4,directed,290,120,50,80,60,50,25,G4-010
inverse-V1-1,G5-001,G5,directed,70,0,0,40,40,60,18,floor
inverse-V1-1,G5-002,G5,directed,370,0,0,40,40,60,18,floor
inverse-V1-1,G5-003,G5,directed,370,40,0,40,40,60,18,floor
inverse-V1-1,G5-004,G5,directed,160,50,0,40,40,60,18,floor
inverse-V1-1,G5-005,G5,directed,370,80,0,40,40,60,18,floor
inverse-V1-1,G5-006,G5,directed,160,90,0,40,40,60,18,floor
inverse-V1-1,G5-007,G5,directed,370,120,0,40,40,60,18,floor
inverse-V1-1,G5-008,G5,directed,160,130,0,40,40,60,18,floor
inverse-V1-1,G5-009,G5,directed,370,160,0,40,40,60,18,floor
inverse-V1-1,G5-010,G5,directed,0,170,0,40,40,60,18,floor
inverse-V1-1,G5-011,G5,directed,40,170,0,40,40,60,18,floor
inverse-V1-1,G5-012,G5,directed,80,170,0,40,40,60,18,floor
inverse-V1-1,G5-013,G5,directed,120,170,0,40,40,60,18,floor
inverse-V1-1,G5-014,G5,directed,160,170,0,40,40,60,18,floor
inverse-V1-1,G5-015,G5,directed,70,0,60,40,40,60,18,G5-001
inverse-V1-1,G5-016,G5,directed,370,0,60,40,40,60,18,G5-002
inverse-V1-1,G5-017,G5,directed,370,40,60,40,40,60,18,G5-003
inverse-V1-1,G5-018,G5,directed,160,50,60,40,40,60,18,G5-004
inverse-V1-1,G5-019,G5,directed,370,80,60,40,40,60,18,G5-005
inverse-V1-1,G5-020,G5,directed,160,90,60,40,40,60,18,G5-006
inverse-V1-1,G5-021,G5,directed,370,120,60,40,40,60,18,G5-007
inverse-V1-1,G5-022,G5,directed,160,130,60,40,40,60,18,G5-008
inverse-V1-1,G5-023,G5,directed,370,160,60,40,40,60,18,G5-009
inverse-V1-1,G5-024,G5,directed,0,170,60,40,40,60,18,G5-010
inverse-V1-1,G5-025,G5,directed,40,170,60,40,40,60,18,G5-011
inverse-V1-1,G1-001,G1,standard,110,0,0,30,40,60,12,floor
inverse-V1-1,G1-002,G1,standard,210,180,0,60,30,40,12,floor
inverse-V1-1,G1-003,G1,standard,270,180,0,60,30,40,12,floor
inverse-V1-1,G1-004,G1,standard,330,180,0,40,30,60,12,floor
inverse-V1-1,G1-005,G1,standard,210,180,40,60,30,40,12,G1-002
inverse-V1-1,G1-006,G1,standard,270,180,40,60,30,40,12,G1-003
inverse-V1-1,G1-007,G1,standard,110,0,60,30,40,60,12,G1-001
inverse-V1-1,G1-008,G1,standard,80,170,60,60,40,30,12,G5-012
inverse-V1-1,G1-009,G1,standard,140,170,60,60,40,30,12,G5-014
