split,style,balanced,score,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count,first_layer_metrics,second_layer_metrics
"(2, 2)",checker,True,1986.31475,298,2,{'G3': 2},149,149,"{'G2': 50, 'G3': 14, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 14, 'G4': 20, 'G5': 25, 'G1': 40}",0.7433618608733816,0.34,112.5,28,0,28,0,"{'max_standard_layer_z': 180, 'max_standard_layer_area_cm2': 46500, 'max_high_standard_layer_area_cm2': 46500, 'weighted_high_layer_area_cm3': 21926250}","{'max_standard_layer_z': 180, 'max_standard_layer_area_cm2': 46500, 'max_high_standard_layer_area_cm2': 46500, 'weighted_high_layer_area_cm3': 21926250}"
"(2, 2)",checker,True,7987.22725,292,8,{'G3': 8},146,146,"{'G2': 50, 'G3': 11, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 11, 'G4': 20, 'G5': 25, 'G1': 40}",0.7214175992977836,0.3325,112.5,22,0,22,0,"{'max_standard_layer_z': 195, 'max_standard_layer_area_cm2': 42000, 'max_high_standard_layer_area_cm2': 42000, 'weighted_high_layer_area_cm3': 21863750}","{'max_standard_layer_z': 195, 'max_standard_layer_area_cm2': 42000, 'max_high_standard_layer_area_cm2': 42000, 'weighted_high_layer_area_cm3': 21863750}"
"(2, 2)",checker,True,25993.2701,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}",0.6555848145709897,0.31,156.25,4,0,4,0,"{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 21000, 'max_high_standard_layer_area_cm2': 21000, 'weighted_high_layer_area_cm3': 12649500}","{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 21000, 'max_high_standard_layer_area_cm2': 21000, 'weighted_high_layer_area_cm3': 12649500}"
"(2, 2)",front_rows,True,9987.876,290,10,{'G3': 10},145,145,"{'G2': 50, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 40}",0.714102845439251,0.33,150.0,20,0,20,0,"{'max_standard_layer_z': 190, 'max_standard_layer_area_cm2': 38400, 'max_high_standard_layer_area_cm2': 38400, 'weighted_high_layer_area_cm3': 22220000}","{'max_standard_layer_z': 190, 'max_standard_layer_area_cm2': 38400, 'max_high_standard_layer_area_cm2': 38400, 'weighted_high_layer_area_cm3': 22220000}"
"(2, 2)",front_rows,True,17989.15645,282,18,{'G3': 18},141,141,"{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}",0.6848438300051203,0.32,150.0,12,0,12,0,"{'max_standard_layer_z': 195, 'max_standard_layer_area_cm2': 33250, 'max_high_standard_layer_area_cm2': 33250, 'weighted_high_layer_area_cm3': 20967750}","{'max_standard_layer_z': 195, 'max_standard_layer_area_cm2': 33250, 'max_high_standard_layer_area_cm2': 33250, 'weighted_high_layer_area_cm3': 20967750}"
"(2, 2)",front_rows,True,9989.03535,290,10,{'G3': 10},145,145,"{'G2': 50, 'G3': 10, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 10, 'G5': 25, 'G4': 20, 'G1': 40}",0.714102845439251,0.33,156.25,20,0,20,0,"{'max_standard_layer_z': 200, 'max_standard_layer_area_cm2': 37250, 'max_high_standard_layer_area_cm2': 37250, 'weighted_high_layer_area_cm3': 17573250}","{'max_standard_layer_z': 200, 'max_standard_layer_area_cm2': 37250, 'max_high_standard_layer_area_cm2': 37250, 'weighted_high_layer_area_cm3': 17573250}"
"(4, 4)",side_rows,False,8174.059814082208,292,8,{'G3': 8},104,188,"{'G2': 8, 'G3': 4, 'G4': 40, 'G5': 37, 'G1': 15}","{'G2': 92, 'G3': 18, 'G5': 13, 'G1': 65}",0.7214175992977836,0.3325,150.0,22,0,22,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 16800, 'max_high_standard_layer_area_cm2': 16800, 'weighted_high_layer_area_cm3': 4752000}","{'max_standard_layer_z': 160, 'max_standard_layer_area_cm2': 55200, 'max_high_standard_layer_area_cm2': 49000, 'weighted_high_layer_area_cm3': 16633750}"
"(4, 4)",side_rows,False,18145.66756790887,282,18,{'G3': 18},108,174,"{'G2': 27, 'G3': 4, 'G4': 40, 'G5': 37}","{'G2': 73, 'G3': 8, 'G5': 13, 'G1': 80}",0.6848438300051203,0.32,150.0,12,0,12,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 14000, 'max_high_standard_layer_area_cm2': 12250, 'weighted_high_layer_area_cm3': 4086250}","{'max_standard_layer_z': 190, 'max_standard_layer_area_cm2': 57750, 'max_high_standard_layer_area_cm2': 23400, 'weighted_high_layer_area_cm3': 17526000}"
"(4, 4)",side_rows,False,14074.227516643154,286,14,{'G3': 14},157,129,"{'G2': 76, 'G3': 4, 'G5': 50, 'G4': 27}","{'G2': 24, 'G3': 12, 'G4': 13, 'G1': 80}",0.6994733377221857,0.325,156.25,16,0,16,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 14000, 'max_high_standard_layer_area_cm2': 14000, 'weighted_high_layer_area_cm3': 16430000}","{'max_standard_layer_z': 170, 'max_standard_layer_area_cm2': 54000, 'max_high_standard_layer_area_cm2': 54000, 'weighted_high_layer_area_cm3': 16704000}"
"(6, 8)",side_rows,False,6208.444300486954,294,6,{'G3': 6},95,199,"{'G2': 12, 'G3': 6, 'G4': 40, 'G5': 30, 'G1': 7}","{'G2': 88, 'G3': 18, 'G5': 20, 'G1': 73}",0.7287323531563163,0.335,133.33333333333334,24,0,24,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 21000, 'max_high_standard_layer_area_cm2': 16800, 'weighted_high_layer_area_cm3': 3528000}","{'max_standard_layer_z': 200, 'max_standard_layer_area_cm2': 56000, 'max_high_standard_layer_area_cm2': 56000, 'weighted_high_layer_area_cm3': 27851000}"
