split,style,balanced,score,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count
"(0, 0)",front_rows,True,26000.0,274,26,{'G3': 26},137,137,"{'G4': 20, 'G5': 25, 'G1': 40, 'G2': 50, 'G3': 2}","{'G4': 20, 'G5': 25, 'G1': 40, 'G2': 50, 'G3': 2}",0.6555848145709897,0.31,150.0,4,0,4,0
"(0, 0)",front_rows,True,24000.0,276,24,{'G3': 24},138,138,"{'G4': 20, 'G5': 25, 'G2': 50, 'G1': 40, 'G3': 3}","{'G4': 20, 'G5': 25, 'G2': 50, 'G1': 40, 'G3': 3}",0.6628995684295224,0.3125,150.0,6,0,6,0
"(0, 0)",front_rows,True,24000.0,276,24,{'G3': 24},138,138,"{'G5': 25, 'G4': 20, 'G2': 50, 'G1': 40, 'G3': 3}","{'G5': 25, 'G4': 20, 'G2': 50, 'G1': 40, 'G3': 3}",0.6628995684295224,0.3125,156.25,6,0,6,0
"(0, 0)",front_rows,False,19083.66889087432,281,19,{'G3': 19},134,147,"{'G4': 40, 'G5': 50, 'G1': 28, 'G2': 16}","{'G1': 52, 'G2': 84, 'G3': 11}",0.681186453075854,0.31875,150.0,11,0,11,0
"(0, 0)",front_rows,False,17060.602290040442,283,17,{'G3': 17},138,145,"{'G4': 40, 'G5': 50, 'G2': 48}","{'G2': 52, 'G1': 80, 'G3': 13}",0.6885012069343867,0.32125,150.0,13,0,13,0
"(0, 0)",front_rows,False,16067.411524917186,284,16,{'G3': 16},146,138,"{'G5': 50, 'G4': 40, 'G2': 56}","{'G2': 44, 'G1': 80, 'G3': 14}",0.692158583863653,0.3225,156.25,14,0,14,0
"(0, 0)",side_rows,True,26000.0,274,26,{'G3': 26},137,137,"{'G4': 20, 'G5': 25, 'G1': 40, 'G2': 50, 'G3': 2}","{'G4': 20, 'G5': 25, 'G1': 40, 'G2': 50, 'G3': 2}",0.6555848145709897,0.31,150.0,4,0,4,0
"(0, 0)",side_rows,True,24000.0,276,24,{'G3': 24},138,138,"{'G4': 20, 'G5': 25, 'G2': 50, 'G1': 40, 'G3': 3}","{'G4': 20, 'G5': 25, 'G2': 50, 'G1': 40, 'G3': 3}",0.6628995684295224,0.3125,150.0,6,0,6,0
"(0, 0)",side_rows,True,24000.0,276,24,{'G3': 24},138,138,"{'G5': 25, 'G4': 20, 'G2': 50, 'G1': 40, 'G3': 3}","{'G5': 25, 'G4': 20, 'G2': 50, 'G1': 40, 'G3': 3}",0.6628995684295224,0.3125,156.25,6,0,6,0
"(0, 0)",side_rows,False,19083.66889087432,281,19,{'G3': 19},134,147,"{'G4': 40, 'G5': 50, 'G1': 28, 'G2': 16}","{'G1': 52, 'G2': 84, 'G3': 11}",0.681186453075854,0.31875,150.0,11,0,11,0
"(0, 0)",side_rows,False,17060.602290040442,283,17,{'G3': 17},138,145,"{'G4': 40, 'G5': 50, 'G2': 48}","{'G2': 52, 'G1': 80, 'G3': 13}",0.6885012069343867,0.32125,150.0,13,0,13,0
"(0, 0)",side_rows,False,16067.411524917186,284,16,{'G3': 16},146,138,"{'G5': 50, 'G4': 40, 'G2': 56}","{'G2': 44, 'G1': 80, 'G3': 14}",0.692158583863653,0.3225,156.25,14,0,14,0
"(0, 0)",checker,True,26000.0,274,26,{'G3': 26},137,137,"{'G4': 20, 'G5': 25, 'G1': 40, 'G2': 50, 'G3': 2}","{'G4': 20, 'G5': 25, 'G1': 40, 'G2': 50, 'G3': 2}",0.6555848145709897,0.31,150.0,4,0,4,0
"(0, 0)",checker,True,24000.0,276,24,{'G3': 24},138,138,"{'G4': 20, 'G5': 25, 'G2': 50, 'G1': 40, 'G3': 3}","{'G4': 20, 'G5': 25, 'G2': 50, 'G1': 40, 'G3': 3}",0.6628995684295224,0.3125,150.0,6,0,6,0
"(0, 0)",checker,True,24000.0,276,24,{'G3': 24},138,138,"{'G5': 25, 'G4': 20, 'G2': 50, 'G1': 40, 'G3': 3}","{'G5': 25, 'G4': 20, 'G2': 50, 'G1': 40, 'G3': 3}",0.6628995684295224,0.3125,156.25,6,0,6,0
"(0, 0)",checker,False,19083.66889087432,281,19,{'G3': 19},134,147,"{'G4': 40, 'G5': 50, 'G1': 28, 'G2': 16}","{'G1': 52, 'G2': 84, 'G3': 11}",0.681186453075854,0.31875,150.0,11,0,11,0
"(0, 0)",checker,False,17060.602290040442,283,17,{'G3': 17},138,145,"{'G4': 40, 'G5': 50, 'G2': 48}","{'G2': 52, 'G1': 80, 'G3': 13}",0.6885012069343867,0.32125,150.0,13,0,13,0
"(0, 0)",checker,False,16067.411524917186,284,16,{'G3': 16},146,138,"{'G5': 50, 'G4': 40, 'G2': 56}","{'G2': 44, 'G1': 80, 'G3': 14}",0.692158583863653,0.3225,156.25,14,0,14,0
"(2, 2)",front_rows,True,10000.0,290,10,{'G3': 10},145,145,"{'G2': 50, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 40}",0.714102845439251,0.33,150.0,20,0,20,0
"(2, 2)",front_rows,True,18000.0,282,18,{'G3': 18},141,141,"{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}",0.6848438300051203,0.32,150.0,12,0,12,0
"(2, 2)",front_rows,True,10000.0,290,10,{'G3': 10},145,145,"{'G2': 50, 'G3': 10, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 10, 'G5': 25, 'G4': 20, 'G1': 40}",0.714102845439251,0.33,156.25,20,0,20,0
"(2, 2)",front_rows,False,16151.507268775405,284,16,{'G3': 16},113,171,"{'G2': 5, 'G3': 2, 'G4': 40, 'G5': 47, 'G1': 19}","{'G2': 95, 'G3': 12, 'G5': 3, 'G1': 61}",0.692158583863653,0.3225,150.0,14,0,14,0
"(2, 2)",front_rows,False,24109.007600029257,276,24,{'G3': 24},121,155,"{'G2': 32, 'G3': 2, 'G4': 40, 'G5': 47}","{'G2': 68, 'G3': 4, 'G5': 3, 'G1': 80}",0.6628995684295224,0.3125,150.0,6,0,6,0
"(2, 2)",front_rows,False,20145.394485720557,280,20,{'G3': 20},165,115,"{'G2': 83, 'G3': 2, 'G5': 50, 'G4': 30}","{'G2': 17, 'G3': 8, 'G4': 10, 'G1': 80}",0.6775290761465876,0.3175,156.25,10,0,10,0
"(2, 2)",side_rows,True,12000.0,288,12,{'G3': 12},144,144,"{'G2': 50, 'G3': 9, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 9, 'G4': 20, 'G5': 25, 'G1': 40}",0.7067880915807183,0.3275,150.0,18,0,18,0
"(2, 2)",side_rows,True,16000.0,284,16,{'G3': 16},142,142,"{'G2': 50, 'G3': 7, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 7, 'G4': 20, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,150.0,14,0,14,0
"(2, 2)",side_rows,True,18000.0,282,18,{'G3': 18},141,141,"{'G2': 50, 'G3': 6, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 6, 'G5': 25, 'G4': 20, 'G1': 40}",0.6848438300051203,0.32,156.25,12,0,12,0
"(2, 2)",side_rows,False,11164.076053063314,289,11,{'G3': 11},111,178,"{'G2': 4, 'G3': 2, 'G4': 40, 'G5': 50, 'G1': 15}","{'G2': 96, 'G3': 17, 'G1': 65}",0.7104454685099846,0.32875,150.0,19,0,19,0
"(2, 2)",side_rows,False,18121.032891313207,282,18,{'G3': 18},120,162,"{'G2': 28, 'G3': 2, 'G4': 40, 'G5': 50}","{'G2': 72, 'G3': 10, 'G1': 80}",0.6848438300051203,0.32,150.0,12,0,12,0
"(2, 2)",side_rows,False,22111.971279141457,278,22,{'G3': 22},155,123,"{'G2': 70, 'G3': 2, 'G5': 50, 'G4': 33}","{'G2': 30, 'G3': 6, 'G4': 7, 'G1': 80}",0.670214322288055,0.315,156.25,8,0,8,0
"(2, 2)",checker,True,2000.0,298,2,{'G3': 2},149,149,"{'G2': 50, 'G3': 14, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 14, 'G4': 20, 'G5': 25, 'G1': 40}",0.7433618608733816,0.34,112.5,28,0,28,0
"(2, 2)",checker,True,8000.0,292,8,{'G3': 8},146,146,"{'G2': 50, 'G3': 11, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 11, 'G4': 20, 'G5': 25, 'G1': 40}",0.7214175992977836,0.3325,112.5,22,0,22,0
"(2, 2)",checker,True,26000.0,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}",0.6555848145709897,0.31,156.25,4,0,4,0
"(2, 2)",checker,False,13143.766008861301,287,13,{'G3': 13},116,171,"{'G2': 5, 'G3': 2, 'G4': 40, 'G5': 42, 'G1': 27}","{'G2': 95, 'G3': 15, 'G5': 8, 'G1': 53}",0.703130714651452,0.32625000000000004,112.5,17,0,17,0
"(2, 2)",checker,False,22090.267205868524,278,22,{'G3': 22},126,152,"{'G2': 42, 'G3': 2, 'G4': 40, 'G5': 42}","{'G2': 58, 'G3': 6, 'G5': 8, 'G1': 80}",0.670214322288055,0.315,137.14285714285714,8,0,8,0
"(2, 2)",checker,False,17183.31247008788,283,17,{'G3': 17},179,104,"{'G2': 96, 'G3': 2, 'G5': 50, 'G4': 21, 'G1': 10}","{'G2': 4, 'G3': 11, 'G4': 19, 'G1': 70}",0.6885012069343867,0.32125000000000004,156.25,13,0,13,0
"(4, 4)",front_rows,True,22000.0,278,22,{'G3': 22},139,139,"{'G2': 50, 'G3': 4, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 4, 'G4': 20, 'G5': 25, 'G1': 40}",0.670214322288055,0.315,112.5,8,0,8,0
"(4, 4)",front_rows,True,18000.0,282,18,{'G3': 18},141,141,"{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}",0.6848438300051203,0.32,137.14285714285714,12,0,12,0
"(4, 4)",front_rows,True,22000.0,278,22,{'G3': 22},139,139,"{'G2': 50, 'G3': 4, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 4, 'G5': 25, 'G4': 20, 'G1': 40}",0.670214322288055,0.315,156.25,8,0,8,0
"(4, 4)",front_rows,False,19147.2444993051,281,19,{'G3': 19},110,171,"{'G2': 9, 'G3': 4, 'G4': 36, 'G5': 45, 'G1': 16}","{'G2': 91, 'G3': 7, 'G4': 4, 'G5': 5, 'G1': 64}",0.681186453075854,0.31875,112.5,11,0,11,0
"(4, 4)",front_rows,False,19133.83560247448,281,19,{'G3': 19},112,169,"{'G2': 27, 'G3': 4, 'G4': 36, 'G5': 45}","{'G2': 73, 'G3': 7, 'G4': 4, 'G5': 5, 'G1': 80}",0.681186453075854,0.31875,112.5,11,0,11,0
"(4, 4)",front_rows,False,18095.755836651097,282,18,{'G3': 18},158,124,"{'G2': 79, 'G3': 4, 'G5': 50, 'G4': 25}","{'G2': 21, 'G3': 8, 'G4': 15, 'G1': 80}",0.6848438300051203,0.32,156.25,12,0,12,0
"(4, 4)",side_rows,True,20000.0,280,20,{'G3': 20},140,140,"{'G2': 50, 'G3': 5, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 5, 'G4': 20, 'G5': 25, 'G1': 40}",0.6775290761465876,0.3175,150.0,10,0,10,0
"(4, 4)",side_rows,True,20000.0,280,20,{'G3': 20},140,140,"{'G2': 50, 'G3': 5, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 5, 'G4': 20, 'G5': 25, 'G1': 40}",0.6775290761465876,0.3175,150.0,10,0,10,0
