vehicle_id,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
layerarea-V1-1,G2-001,G2,standard,0,160,0,35,50,25,8,floor
layerarea-V1-1,G2-002,G2,standard,35,160,0,35,50,25,8,floor
layerarea-V1-1,G3-001,G3,fragile,0,160,25,70,50,40,15,G2-001|G2-002
layerarea-V1-1,G2-003,G2,standard,70,160,0,35,50,25,8,floor
layerarea-V1-1,G2-004,G2,standard,105,160,0,35,50,25,8,floor
layerarea-V1-1,G3-002,G3,fragile,70,160,25,70,50,40,15,G2-003|G2-004
layerarea-V1-1,G2-005,G2,standard,140,160,0,35,50,25,8,floor
layerarea-V1-1,G2-006,G2,standard,175,160,0,35,50,25,8,floor
layerarea-V1-1,G3-003,G3,fragile,140,160,25,70,50,40,15,G2-005|G2-006
layerarea-V1-1,G2-007,G2,standard,210,160,0,35,50,25,8,floor
layerarea-V1-1,G2-008,G2,standard,245,160,0,35,50,25,8,floor
layerarea-V1-1,G3-004,G3,fragile,210,160,25,70,50,40,15,G2-007|G2-008
layerarea-V1-1,G2-009,G2,standard,280,160,0,35,50,25,8,floor
layerarea-V1-1,G2-010,G2,standard,315,160,0,35,50,25,8,floor
layerarea-V1-1,G3-005,G3,fragile,280,160,25,70,50,40,15,G2-009|G2-010
layerarea-V1-1,G2-011,G2,standard,350,160,0,35,50,25,8,floor
layerarea-V1-1,G2-012,G2,standard,385,160,0,35,50,25,8,floor
layerarea-V1-1,G3-006,G3,fragile,350,160,25,70,50,40,15,G2-011|G2-012
layerarea-V1-1,G5-001,G5,directed,0,0,0,40,40,60,18,floor
layerarea-V1-1,G5-002,G5,directed,40,0,0,40,40,60,18,floor
layerarea-V1-1,G5-003,G5,directed,80,0,0,40,40,60,18,floor
layerarea-V1-1,G5-004,G5,directed,120,0,0,40,40,60,18,floor
layerarea-V1-1,G5-005,G5,directed,160,0,0,40,40,60,18,floor
layerarea-V1-1,G5-006,G5,directed,200,0,0,40,40,60,18,floor
layerarea-V1-1,G5-007,G5,directed,240,0,0,40,40,60,18,floor
layerarea-V1-1,G5-008,G5,directed,280,0,0,40,40,60,18,floor
layerarea-V1-1,G5-009,G5,directed,320,0,0,40,40,60,18,floor
layerarea-V1-1,G5-010,G5,directed,360,0,0,40,40,60,18,floor
layerarea-V1-1,G5-011,G5,directed,0,40,0,40,40,60,18,floor
layerarea-V1-1,G5-012,G5,directed,40,40,0,40,40,60,18,floor
layerarea-V1-1,G5-013,G5,directed,80,40,0,40,40,60,18,floor
layerarea-V1-1,G5-014,G5,directed,120,40,0,40,40,60,18,floor
layerarea-V1-1,G5-015,G5,directed,160,40,0,40,40,60,18,floor
layerarea-V1-1,G5-016,G5,directed,200,40,0,40,40,60,18,floor
layerarea-V1-1,G5-017,G5,directed,240,40,0,40,40,60,18,floor
layerarea-V1-1,G5-018,G5,directed,280,40,0,40,40,60,18,floor
layerarea-V1-1,G5-019,G5,directed,320,40,0,40,40,60,18,floor
