split,style,balanced,mode,score,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count,first_layer_metrics,second_layer_metrics
"(2, 2)",checker,True,moderate,25994.98,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,150.0,4,0,4,0,"{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 25100, 'max_high_standard_layer_area_cm2': 25100}","{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 25100, 'max_high_standard_layer_area_cm2': 25100}"
"(2, 2)",checker,True,moderate,25993.53,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,200.0,4,0,4,0,"{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 32350, 'max_high_standard_layer_area_cm2': 32350}","{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 32350, 'max_high_standard_layer_area_cm2': 32350}"
"(2, 2)",checker,True,moderate,21991.92,278,22,{'G3': 22},139,139,"{'G2': 50, 'G3': 4, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 4, 'G5': 25, 'G4': 20, 'G1': 40}",0.670214322288055,0.315,156.25,8,4,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 40400, 'max_high_standard_layer_area_cm2': 40400}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 40400, 'max_high_standard_layer_area_cm2': 40400}"
"(2, 2)",checker,True,strong,25994.98,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,150.0,4,0,4,0,"{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 25100, 'max_high_standard_layer_area_cm2': 25100}","{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 25100, 'max_high_standard_layer_area_cm2': 25100}"
"(2, 2)",checker,True,strong,25993.53,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,200.0,4,0,4,0,"{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 32350, 'max_high_standard_layer_area_cm2': 32350}","{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 32350, 'max_high_standard_layer_area_cm2': 32350}"
"(2, 2)",checker,True,strong,21991.92,278,22,{'G3': 22},139,139,"{'G2': 50, 'G3': 4, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 4, 'G5': 25, 'G4': 20, 'G1': 40}",0.670214322288055,0.315,156.25,8,4,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 40400, 'max_high_standard_layer_area_cm2': 40400}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 40400, 'max_high_standard_layer_area_cm2': 40400}"
"(2, 2)",checker,True,area_first,23990.495,276,24,{'G3': 24},138,138,"{'G2': 50, 'G3': 3, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 3, 'G4': 20, 'G5': 25, 'G1': 40}",0.6628995684295224,0.3125,133.33333333333334,6,0,6,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 47525, 'max_high_standard_layer_area_cm2': 47525}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 47525, 'max_high_standard_layer_area_cm2': 47525}"
"(2, 2)",checker,True,area_first,25989.3,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,112.5,4,0,4,0,"{'max_standard_layer_z': 195, 'max_standard_layer_area_cm2': 53500, 'max_high_standard_layer_area_cm2': 53500}","{'max_standard_layer_z': 195, 'max_standard_layer_area_cm2': 53500, 'max_high_standard_layer_area_cm2': 53500}"
"(2, 2)",checker,True,area_first,25991.89,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}",0.6555848145709897,0.31,156.25,4,0,4,0,"{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 40550, 'max_high_standard_layer_area_cm2': 40550}","{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 40550, 'max_high_standard_layer_area_cm2': 40550}"
"(2, 2)",front_rows,True,moderate,25994.515,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,150.0,4,0,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 27425, 'max_high_standard_layer_area_cm2': 27425}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 27425, 'max_high_standard_layer_area_cm2': 27425}"
"(2, 2)",front_rows,True,moderate,25992.38,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,150.0,4,0,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 38100, 'max_high_standard_layer_area_cm2': 38100}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 38100, 'max_high_standard_layer_area_cm2': 38100}"
"(2, 2)",front_rows,True,moderate,25993.93,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}",0.6555848145709897,0.31,156.25,4,0,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 30350, 'max_high_standard_layer_area_cm2': 30350}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 30350, 'max_high_standard_layer_area_cm2': 30350}"
"(2, 2)",front_rows,True,strong,25994.515,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,150.0,4,0,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 27425, 'max_high_standard_layer_area_cm2': 27425}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 27425, 'max_high_standard_layer_area_cm2': 27425}"
"(2, 2)",front_rows,True,strong,25992.38,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,150.0,4,0,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 38100, 'max_high_standard_layer_area_cm2': 38100}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 38100, 'max_high_standard_layer_area_cm2': 38100}"
"(2, 2)",front_rows,True,strong,25993.93,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}",0.6555848145709897,0.31,156.25,4,0,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 30350, 'max_high_standard_layer_area_cm2': 30350}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 30350, 'max_high_standard_layer_area_cm2': 30350}"
"(2, 2)",front_rows,True,area_first,19990.705,280,20,{'G3': 20},140,140,"{'G2': 50, 'G3': 5, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 5, 'G4': 20, 'G5': 25, 'G1': 40}",0.6775290761465876,0.3175,150.0,10,0,10,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 46475, 'max_high_standard_layer_area_cm2': 46475}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 46475, 'max_high_standard_layer_area_cm2': 46475}"
"(2, 2)",front_rows,True,area_first,25992.92,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,150.0,4,0,4,0,"{'max_standard_layer_z': 200, 'max_standard_layer_area_cm2': 35400, 'max_high_standard_layer_area_cm2': 35400}","{'max_standard_layer_z': 200, 'max_standard_layer_area_cm2': 35400, 'max_high_standard_layer_area_cm2': 35400}"
"(2, 2)",front_rows,True,area_first,25992.17,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}",0.6555848145709897,0.31,156.25,4,0,4,0,"{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 39150, 'max_high_standard_layer_area_cm2': 39150}","{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 39150, 'max_high_standard_layer_area_cm2': 39150}"
"(2, 2)",side_rows,True,moderate,25992.8,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,150.0,4,0,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 36000, 'max_high_standard_layer_area_cm2': 36000}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 36000, 'max_high_standard_layer_area_cm2': 36000}"
"(2, 2)",side_rows,True,moderate,25993.97,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,150.0,4,0,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 30150, 'max_high_standard_layer_area_cm2': 30150}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 30150, 'max_high_standard_layer_area_cm2': 30150}"
"(2, 2)",side_rows,True,moderate,23993.11,276,24,{'G3': 24},138,138,"{'G2': 50, 'G3': 3, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 3, 'G5': 25, 'G4': 20, 'G1': 40}",0.6628995684295224,0.3125,156.25,6,2,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 34450, 'max_high_standard_layer_area_cm2': 34450}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 34450, 'max_high_standard_layer_area_cm2': 34450}"
"(2, 2)",side_rows,True,strong,25992.8,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 2, 'G4': 20, 'G5': 25, 'G1': 40}",0.6555848145709897,0.31,150.0,4,0,4,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 36000, 'max_high_standard_layer_area_cm2': 36000}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 36000, 'max_high_standard_layer_area_cm2': 36000}"
