split,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,first_volume_utilization,second_volume_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count
"(1, 1)",280,20,{'G3': 20},140,140,"{'G4': 20, 'G2': 50, 'G3': 5, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 5, 'G5': 25, 'G1': 40}",0.6775290761465876,0.3175,0.6775290761465876,0.6775290761465876,150.0,10,0,10,0
"(1, 1)",284,16,{'G3': 16},142,142,"{'G4': 20, 'G2': 50, 'G3': 7, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 7, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,0.692158583863653,0.692158583863653,150.0,14,0,14,0
"(2, 2)",284,16,{'G3': 16},142,142,"{'G4': 20, 'G2': 50, 'G3': 7, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 7, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,0.692158583863653,0.692158583863653,150.0,14,0,14,0
"(2, 2)",286,14,{'G3': 14},143,143,"{'G4': 20, 'G2': 50, 'G3': 8, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 8, 'G5': 25, 'G1': 40}",0.6994733377221857,0.325,0.6994733377221857,0.6994733377221857,150.0,16,0,16,0
"(3, 3)",284,16,{'G3': 16},142,142,"{'G4': 20, 'G2': 50, 'G3': 7, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 7, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,0.692158583863653,0.692158583863653,150.0,14,0,14,0
"(3, 3)",278,22,{'G3': 22},139,139,"{'G4': 20, 'G2': 50, 'G3': 4, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 4, 'G5': 25, 'G1': 40}",0.670214322288055,0.315,0.670214322288055,0.670214322288055,150.0,8,0,8,0
"(4, 4)",278,22,{'G3': 22},139,139,"{'G4': 20, 'G2': 50, 'G3': 4, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 4, 'G5': 25, 'G1': 40}",0.670214322288055,0.315,0.670214322288055,0.670214322288055,150.0,8,0,8,0
"(4, 4)",278,22,{'G3': 22},139,139,"{'G4': 20, 'G2': 50, 'G3': 4, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 4, 'G5': 25, 'G1': 40}",0.670214322288055,0.315,0.670214322288055,0.670214322288055,150.0,8,0,8,0
"(5, 5)",280,20,{'G3': 20},140,140,"{'G4': 20, 'G2': 50, 'G3': 5, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 5, 'G5': 25, 'G1': 40}",0.6775290761465876,0.3175,0.6775290761465876,0.6775290761465876,150.0,10,0,10,0
"(5, 5)",280,20,{'G3': 20},140,140,"{'G4': 20, 'G2': 50, 'G3': 5, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 5, 'G5': 25, 'G1': 40}",0.6775290761465876,0.3175,0.6775290761465876,0.6775290761465876,150.0,10,0,10,0
