vehicle_id,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
balanced-V1-1,G4-001,G4,directed,0,0,0,80,60,50,25,floor
balanced-V1-1,G2-001,G2,standard,0,0,50,35,50,25,8,G4-001
balanced-V1-1,G2-002,G2,standard,35,0,50,35,50,25,8,G4-001
balanced-V1-1,G3-001,G3,fragile,0,0,75,70,50,40,15,G2-001|G2-002
balanced-V1-1,G4-002,G4,directed,80,0,0,80,60,50,25,floor
balanced-V1-1,G2-003,G2,standard,80,0,50,35,50,25,8,G4-002
balanced-V1-1,G2-004,G2,standard,115,0,50,35,50,25,8,G4-002
balanced-V1-1,G3-002,G3,fragile,80,0,75,70,50,40,15,G2-003|G2-004
balanced-V1-1,G4-005,G4,directed,160,0,0,80,60,50,25,floor
balanced-V1-1,G4-006,G4,directed,240,0,0,80,60,50,25,floor
balanced-V1-1,G4-007,G4,directed,320,0,0,80,60,50,25,floor
balanced-V1-1,G4-008,G4,directed,0,60,0,80,60,50,25,floor
balanced-V1-1,G4-009,G4,directed,80,60,0,80,60,50,25,floor
balanced-V1-1,G4-010,G4,directed,160,60,0,80,60,50,25,floor
balanced-V1-1,G4-011,G4,directed,240,60,0,80,60,50,25,floor
balanced-V1-1,G4-012,G4,directed,320,60,0,80,60,50,25,floor
balanced-V1-1,G4-013,G4,directed,0,120,0,80,60,50,25,floor
balanced-V1-1,G4-014,G4,directed,80,120,0,80,60,50,25,floor
balanced-V1-1,G4-015,G4,directed,160,120,0,80,60,50,25,floor
balanced-V1-1,G4-016,G4,directed,240,120,0,80,60,50,25,floor
balanced-V1-1,G4-017,G4,directed,320,120,0,80,60,50,25,floor
balanced-V1-1,G4-018,G4,directed,150,0,50,80,60,50,25,G4-005
balanced-V1-1,G4-019,G4,directed,230,0,50,80,60,50,25,G4-006
balanced-V1-1,G4-020,G4,directed,310,0,50,80,60,50,25,G4-007
balanced-V1-1,G4-021,G4,directed,0,50,50,80,60,50,25,G4-008
balanced-V1-1,G4-022,G4,directed,80,60,50,80,60,50,25,G4-009
balanced-V1-1,G5-001,G5,directed,160,60,50,40,40,60,18,G4-010
balanced-V1-1,G5-002,G5,directed,200,60,50,40,40,60,18,G4-010
balanced-V1-1,G5-003,G5,directed,240,60,50,40,40,60,18,G4-011
balanced-V1-1,G5-004,G5,directed,280,60,50,40,40,60,18,G4-011
balanced-V1-1,G5-005,G5,directed,320,60,50,40,40,60,18,G4-012
