vehicle_id,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
layer-V1-1,G4-001,G4,directed,0,0,0,80,60,50,25,floor
layer-V1-1,G2-001,G2,standard,0,0,50,35,50,25,8,G4-001
layer-V1-1,G2-002,G2,standard,35,0,50,35,50,25,8,G4-001
layer-V1-1,G3-001,G3,fragile,0,0,75,70,50,40,15,G2-001|G2-002
layer-V1-1,G4-002,G4,directed,80,0,0,80,60,50,25,floor
layer-V1-1,G2-003,G2,standard,80,0,50,35,50,25,8,G4-002
layer-V1-1,G2-004,G2,standard,115,0,50,35,50,25,8,G4-002
layer-V1-1,G3-002,G3,fragile,80,0,75,70,50,40,15,G2-003|G2-004
layer-V1-1,G4-005,G4,directed,160,0,0,80,60,50,25,floor
layer-V1-1,G4-006,G4,directed,240,0,0,80,60,50,25,floor
layer-V1-1,G4-007,G4,directed,320,0,0,80,60,50,25,floor
layer-V1-1,G4-008,G4,directed,0,60,0,80,60,50,25,floor
layer-V1-1,G4-009,G4,directed,80,60,0,80,60,50,25,floor
layer-V1-1,G4-010,G4,directed,160,60,0,80,60,50,25,floor
layer-V1-1,G4-011,G4,directed,240,60,0,80,60,50,25,floor
layer-V1-1,G4-012,G4,directed,320,60,0,80,60,50,25,floor
layer-V1-1,G4-013,G4,directed,0,120,0,80,60,50,25,floor
layer-V1-1,G4-014,G4,directed,80,120,0,80,60,50,25,floor
layer-V1-1,G4-015,G4,directed,160,120,0,80,60,50,25,floor
layer-V1-1,G4-016,G4,directed,240,120,0,80,60,50,25,floor
layer-V1-1,G4-017,G4,directed,320,120,0,80,60,50,25,floor
layer-V1-1,G4-018,G4,directed,150,0,50,80,60,50,25,G4-005
layer-V1-1,G4-019,G4,directed,230,0,50,80,60,50,25,G4-006
layer-V1-1,G4-020,G4,directed,310,0,50,80,60,50,25,G4-007
layer-V1-1,G4-021,G4,directed,0,50,50,80,60,50,25,G4-008
layer-V1-1,G4-022,G4,directed,80,60,50,80,60,50,25,G4-009
layer-V1-1,G4-023,G4,directed,160,60,50,80,60,50,25,G4-010
layer-V1-1,G4-024,G4,directed,240,60,50,80,60,50,25,G4-011
layer-V1-1,G4-025,G4,directed,320,60,50,80,60,50,25,G4-012
layer-V1-1,G4-026,G4,directed,0,110,50,80,60,50,25,G4-013
layer-V1-1,G4-027,G4,directed,80,120,50,80,60,50,25,G4-014
layer-V1-1,G4-028,G4,directed,160,120,50,80,60,50,25,G4-015
layer-V1-1,G4-029,G4,directed,240,120,50,80,60,50,25,G4-016
layer-V1-1,G4-030,G4,directed,320,120,50,80,60,50,25,G4-017
layer-V1-1,G4-031,G4,directed,150,0,100,80,60,50,25,G4-018
layer-V1-1,G4-032,G4,directed,230,0,100,80,60,50,25,G4-019
layer-V1-1,G4-033,G4,directed,310,0,100,80,60,50,25,G4-020
layer-V1-1,G4-034,G4,directed,0,50,100,80,60,50,25,G4-021
layer-V1-1,G4-035,G4,directed,80,60,100,80,60,50,25,G4-022
layer-V1-1,G4-036,G4,directed,160,60,100,80,60,50,25,G4-023
layer-V1-1,G4-037,G4,directed,240,60,100,80,60,50,25,G4-024
layer-V1-1,G4-038,G4,directed,320,60,100,80,60,50,25,G4-025
layer-V1-1,G4-039,G4,directed,0,110,100,80,60,50,25,G4-026
layer-V1-1,G4-040,G4,directed,80,120,100,80,60,50,25,G4-027
layer-V1-1,G5-001,G5,directed,160,120,100,40,40,60,18,G4-028
layer-V1-1,G5-002,G5,directed,200,120,100,40,40,60,18,G4-028
layer-V1-1,G5-003,G5,directed,240,120,100,40,40,60,18,G4-029
layer-V1-1,G5-004,G5,directed,280,120,100,40,40,60,18,G4-029
layer-V1-1,G5-005,G5,directed,320,120,100,40,40,60,18,G4-030
layer-V1-1,G5-006,G5,directed,360,120,100,40,40,60,18,G4-030
layer-V1-1,G5-007,G5,directed,160,160,100,40,40,60,18,G4-028
layer-V1-1,G5-008,G5,directed,200,160,100,40,40,60,18,G4-028
layer-V1-1,G5-009,G5,directed,240,160,100,40,40,60,18,G4-029
layer-V1-1,G5-010,G5,directed,280,160,100,40,40,60,18,G4-029
layer-V1-1,G5-011,G5,directed,320,160,100,40,40,60,18,G4-030
layer-V1-1,G5-012,G5,directed,360,160,100,40,40,60,18,G4-030
layer-V1-1,G5-013,G5,directed,150,0,150,40,40,60,18,G4-031
layer-V1-1,G5-014,G5,directed,190,0,150,40,40,60,18,G4-031
layer-V1-1,G5-015,G5,directed,230,0,150,40,40,60,18,G4-032
layer-V1-1,G5-016,G5,directed,270,0,150,40,40,60,18,G4-032
layer-V1-1,G5-017,G5,directed,310,0,150,40,40,60,18,G4-033
layer-V1-1,G5-018,G5,directed,350,0,150,40,40,60,18,G4-033
layer-V1-1,G5-019,G5,directed,150,40,150,40,40,60,18,G4-031
layer-V1-1,G5-020,G5,directed,190,40,150,40,40,60,18,G4-031
layer-V1-1,G5-021,G5,directed,230,40,150,40,40,60,18,G4-032
layer-V1-1,G5-022,G5,directed,270,40,150,40,40,60,18,G4-032
layer-V1-1,G5-023,G5,directed,310,40,150,40,40,60,18,G4-033
layer-V1-1,G5-024,G5,directed,350,40,150,40,40,60,18,G4-033
layer-V1-1,G5-025,G5,directed,0,50,150,40,40,60,18,G4-034
layer-V1-1,G5-026,G5,directed,40,50,150,40,40,60,18,G4-034
layer-V1-1,G5-027,G5,directed,80,50,150,40,40,60,18,G4-035
layer-V1-1,G5-028,G5,directed,150,80,150,40,40,60,18,G4-036
layer-V1-1,G5-029,G5,directed,190,80,150,40,40,60,18,G4-036
layer-V1-1,G5-030,G5,directed,230,80,150,40,40,60,18,G4-037
layer-V1-1,G5-031,G5,directed,270,80,150,40,40,60,18,G4-037
layer-V1-1,G5-032,G5,directed,310,80,150,40,40,60,18,G4-038
layer-V1-1,G5-033,G5,directed,350,80,150,40,40,60,18,G4-038
layer-V1-1,G5-034,G5,directed,0,90,150,40,40,60,18,G4-034
layer-V1-1,G5-035,G5,directed,40,90,150,40,40,60,18,G4-034
layer-V1-1,G5-036,G5,directed,80,90,150,40,40,60,18,G4-035
layer-V1-1,G5-037,G5,directed,0,130,150,40,40,60,18,G4-039
layer-V1-1,G5-038,G5,directed,40,130,150,40,40,60,18,G4-039
layer-V1-1,G5-039,G5,directed,80,130,150,40,40,60,18,G4-040
layer-V1-1,G5-040,G5,directed,120,130,150,40,40,60,18,G4-040
layer-V1-1,G1-001,G1,standard,0,180,0,60,30,40,12,floor
layer-V1-1,G1-002,G1,standard,60,180,0,60,30,40,12,floor
layer-V1-1,G1-003,G1,standard,120,180,0,60,30,40,12,floor
layer-V1-1,G1-004,G1,standard,180,180,0,60,30,40,12,floor
layer-V1-1,G1-005,G1,standard,240,180,0,60,30,40,12,floor
layer-V1-1,G1-006,G1,standard,300,180,0,60,30,40,12,floor
layer-V1-1,G1-007,G1,standard,360,180,0,60,30,40,12,floor
layer-V1-1,G1-008,G1,standard,0,180,40,60,30,40,12,G1-001
layer-V1-1,G1-009,G1,standard,60,180,40,60,30,40,12,G1-002
layer-V1-1,G1-010,G1,standard,120,180,40,60,30,40,12,G1-003
layer-V1-1,G1-011,G1,standard,180,180,40,60,30,40,12,G1-004
layer-V1-1,G1-012,G1,standard,240,180,40,60,30,40,12,G1-005
layer-V1-1,G1-013,G1,standard,300,180,40,60,30,40,12,G1-006
layer-V1-1,G1-014,G1,standard,360,180,40,60,30,40,12,G1-007
layer-V1-1,G1-015,G1,standard,0,180,80,60,30,40,12,G1-008
layer-V1-1,G1-016,G1,standard,60,180,80,60,30,40,12,G1-009
layer-V1-1,G1-017,G1,standard,120,180,80,40,30,60,12,G1-010
layer-V1-1,G1-018,G1,standard,0,180,120,60,30,40,12,G1-015
layer-V1-1,G1-019,G1,standard,60,180,120,60,30,40,12,G1-016
layer-V1-1,G1-020,G1,standard,120,180,140,40,30,60,12,G1-017
layer-V1-1,G1-021,G1,standard,120,50,150,30,60,40,12,G4-035
layer-V1-1,G1-022,G1,standard,160,120,160,60,40,30,12,G5-001
layer-V1-1,G1-023,G1,standard,220,120,160,60,40,30,12,G5-003
layer-V1-1,G1-024,G1,standard,280,120,160,60,40,30,12,G5-004
layer-V1-1,G1-025,G1,standard,340,120,160,60,40,30,12,G5-006
layer-V1-1,G1-026,G1,standard,160,160,160,60,40,30,12,G5-007
layer-V1-1,G1-027,G1,standard,220,160,160,60,40,30,12,G5-009
layer-V1-1,G1-028,G1,standard,280,160,160,60,40,30,12,G5-010
layer-V1-1,G1-029,G1,standard,340,160,160,60,40,30,12,G5-012
layer-V1-1,G1-030,G1,standard,0,180,160,60,30,40,12,G1-018
layer-V1-1,G1-031,G1,standard,60,180,160,60,30,40,12,G1-019
layer-V1-1,G2-009,G2,standard,160,120,190,50,35,25,8,G1-022
layer-V1-1,G2-010,G2,standard,210,120,190,50,35,25,8,G1-023
layer-V1-1,G2-011,G2,standard,260,120,190,50,35,25,8,G1-024
layer-V1-1,G2-012,G2,standard,310,120,190,50,35,25,8,G1-024
layer-V1-1,G2-013,G2,standard,360,120,190,50,35,25,8,G1-025
layer-V1-1,G2-014,G2,standard,160,155,190,50,35,25,8,G1-026
layer-V1-1,G2-015,G2,standard,210,155,190,50,35,25,8,G1-027
layer-V1-1,G2-016,G2,standard,260,155,190,50,35,25,8,G1-028
layer-V1-1,G2-017,G2,standard,310,155,190,50,35,25,8,G1-028
layer-V1-1,G2-018,G2,standard,360,155,190,50,35,25,8,G1-029
layer-V1-2,G4-003,G4,directed,0,0,0,80,60,50,25,floor
layer-V1-2,G2-005,G2,standard,0,0,50,35,50,25,8,G4-003
layer-V1-2,G2-006,G2,standard,35,0,50,35,50,25,8,G4-003
layer-V1-2,G3-003,G3,fragile,0,0,75,70,50,40,15,G2-005|G2-006
layer-V1-2,G4-004,G4,directed,80,0,0,80,60,50,25,floor
layer-V1-2,G2-007,G2,standard,80,0,50,35,50,25,8,G4-004
layer-V1-2,G2-008,G2,standard,115,0,50,35,50,25,8,G4-004
layer-V1-2,G3-004,G3,fragile,80,0,75,70,50,40,15,G2-007|G2-008
layer-V1-2,G5-041,G5,directed,160,0,0,40,40,60,18,floor
layer-V1-2,G5-042,G5,directed,200,0,0,40,40,60,18,floor
layer-V1-2,G5-043,G5,directed,240,0,0,40,40,60,18,floor
layer-V1-2,G5-044,G5,directed,280,0,0,40,40,60,18,floor
layer-V1-2,G5-045,G5,directed,320,0,0,40,40,60,18,floor
layer-V1-2,G5-046,G5,directed,360,0,0,40,40,60,18,floor
layer-V1-2,G5-047,G5,directed,160,40,0,40,40,60,18,floor
layer-V1-2,G5-048,G5,directed,200,40,0,40,40,60,18,floor
layer-V1-2,G5-049,G5,directed,240,40,0,40,40,60,18,floor
layer-V1-2,G5-050,G5,directed,280,40,0,40,40,60,18,floor
layer-V1-2,G1-032,G1,standard,320,40,0,60,40,30,12,floor
layer-V1-2,G1-033,G1,standard,380,40,0,40,60,30,12,floor
layer-V1-2,G1-034,G1,standard,0,60,0,60,40,30,12,floor
layer-V1-2,G1-035,G1,standard,60,60,0,60,40,30,12,floor
layer-V1-2,G1-036,G1,standard,120,60,0,40,60,30,12,floor
layer-V1-2,G1-037,G1,standard,160,80,0,60,40,30,12,floor
layer-V1-2,G1-038,G1,standard,220,80,0,60,40,30,12,floor
layer-V1-2,G1-039,G1,standard,280,80,0,60,40,30,12,floor
layer-V1-2,G1-040,G1,standard,340,80,0,40,60,30,12,floor
