split,style,placed,remaining,remaining_counts,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count
"(1, 1)",rows,285,15,{'G3': 15},0.6958159607929193,0.32375,150.0,15,0,15,0
"(2, 2)",rows,287,13,{'G3': 13},0.703130714651452,0.32625,150.0,17,0,17,0
"(3, 3)",rows,283,17,{'G3': 17},0.6885012069343867,0.32125000000000004,150.0,13,0,13,0
"(4, 4)",rows,283,17,{'G3': 17},0.6885012069343867,0.32125000000000004,150.0,13,0,13,0
"(5, 5)",rows,286,14,{'G3': 14},0.6994733377221856,0.325,150.0,16,0,16,0
"(2, 3)",rows,282,18,{'G3': 18},0.6848438300051203,0.31999999999999995,150.0,12,0,12,0
"(3, 2)",rows,281,19,{'G3': 19},0.681186453075854,0.31875,150.0,11,0,11,0
"(3, 4)",rows,282,18,{'G3': 18},0.6848438300051203,0.32,150.0,12,0,12,0
"(4, 3)",rows,284,16,{'G3': 16},0.692158583863653,0.3225,150.0,14,0,14,0
"(4, 5)",rows,284,16,{'G3': 16},0.692158583863653,0.3225,150.0,14,0,14,0
"(5, 4)",rows,287,13,{'G3': 13},0.7031307146514519,0.32625000000000004,150.0,17,0,17,0
