split,style,placed,remaining,remaining_counts,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count
"(0, 0)",rows,281,19,{'G3': 19},0.681186453075854,0.31875,150.0,11,0,11,0
"(0, 0)",rows,283,17,{'G3': 17},0.6885012069343867,0.32125,150.0,13,0,13,0
"(6, 6)",rows,284,16,{'G3': 16},0.692158583863653,0.3225,150.0,14,0,14,0
"(6, 6)",rows,282,18,{'G3': 18},0.6848438300051203,0.31999999999999995,150.0,12,0,12,0
"(6, 7)",rows,283,17,{'G3': 17},0.6885012069343867,0.32125000000000004,150.0,13,0,13,0
"(6, 7)",rows,283,17,{'G3': 17},0.6885012069343867,0.32125000000000004,150.0,13,0,13,0
"(7, 6)",rows,283,17,{'G3': 17},0.6885012069343867,0.32125000000000004,150.0,13,0,13,0
"(7, 6)",rows,281,19,"{'G1': 2, 'G3': 17}",0.684739333521427,0.31925000000000003,150.0,13,0,13,0
"(8, 6)",rows,282,18,"{'G2': 2, 'G3': 16}",0.6898727232828615,0.3211666666666667,150.0,14,0,14,0
"(8, 6)",rows,279,21,"{'G1': 5, 'G3': 16}",0.6827539003312539,0.3175,150.0,14,0,14,0
"(6, 8)",rows,284,16,{'G3': 16},0.692158583863653,0.3225,150.0,14,0,14,0
"(6, 8)",rows,282,18,"{'G1': 2, 'G3': 16}",0.6883967104506934,0.3205,150.0,14,0,14,0
