split,style,balanced,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count
"(2, 2)",checker,True,284,16,{'G3': 16},142,142,"{'G2': 50, 'G3': 7, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 7, 'G4': 20, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,137.14285714285714,14,0,14,0
"(2, 2)",checker,True,284,16,{'G3': 16},142,142,"{'G2': 50, 'G3': 7, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 7, 'G4': 20, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,150.0,14,0,14,0
"(2, 2)",checker,True,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}",0.6555848145709897,0.31,156.25,4,0,4,0
"(2, 2)",checker,False,278,22,{'G3': 22},124,154,"{'G2': 40, 'G3': 2, 'G4': 40, 'G5': 42}","{'G2': 60, 'G3': 6, 'G5': 8, 'G1': 80}",0.670214322288055,0.315,274.2857142857143,8,0,8,0
"(2, 2)",checker,False,282,18,{'G3': 18},118,164,"{'G2': 10, 'G3': 2, 'G4': 40, 'G5': 42, 'G1': 24}","{'G2': 90, 'G3': 10, 'G5': 8, 'G1': 56}",0.6848438300051203,0.32,128.0,12,0,12,0
"(2, 2)",checker,False,274,26,{'G3': 26},172,102,"{'G2': 96, 'G3': 2, 'G5': 50, 'G4': 21, 'G1': 3}","{'G2': 4, 'G3': 2, 'G4': 19, 'G1': 77}",0.6555848145709897,0.31,156.25,4,0,4,0
"(2, 2)",front_rows,True,282,18,{'G3': 18},141,141,"{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}",0.6848438300051203,0.32,205.71428571428572,12,0,12,0
"(2, 2)",front_rows,True,280,20,{'G3': 20},140,140,"{'G2': 50, 'G3': 5, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 5, 'G4': 20, 'G5': 25, 'G1': 40}",0.6775290761465876,0.3175,150.0,10,0,10,0
"(2, 2)",front_rows,True,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}",0.6555848145709897,0.31,192.0,4,0,4,0
"(2, 2)",front_rows,False,286,14,{'G3': 14},120,166,"{'G2': 31, 'G3': 2, 'G4': 40, 'G5': 47}","{'G2': 69, 'G3': 14, 'G5': 3, 'G1': 80}",0.6994733377221856,0.32499999999999996,274.2857142857143,16,0,16,0
"(2, 2)",front_rows,False,290,10,{'G3': 10},112,178,"{'G2': 4, 'G3': 2, 'G4': 40, 'G5': 47, 'G1': 19}","{'G2': 96, 'G3': 18, 'G5': 3, 'G1': 61}",0.714102845439251,0.32999999999999996,150.0,20,0,20,0
"(2, 2)",front_rows,False,279,21,{'G3': 21},161,118,"{'G2': 79, 'G3': 2, 'G5': 50, 'G4': 30}","{'G2': 21, 'G3': 7, 'G4': 10, 'G1': 80}",0.6738716992173213,0.31625000000000003,156.25,9,0,9,0
"(2, 2)",side_rows,True,278,22,{'G3': 22},139,139,"{'G2': 50, 'G3': 4, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 4, 'G4': 20, 'G5': 25, 'G1': 40}",0.670214322288055,0.315,150.0,8,0,8,0
"(2, 2)",side_rows,True,290,10,{'G3': 10},145,145,"{'G2': 50, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 10, 'G4': 20, 'G5': 25, 'G1': 40}",0.714102845439251,0.33,150.0,20,0,20,0
"(2, 2)",side_rows,True,274,26,{'G3': 26},137,137,"{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 2, 'G5': 25, 'G4': 20, 'G1': 40}",0.6555848145709897,0.31,156.25,4,0,4,0
"(2, 2)",side_rows,False,287,13,{'G3': 13},120,167,"{'G2': 28, 'G3': 2, 'G4': 40, 'G5': 50}","{'G2': 72, 'G3': 15, 'G1': 80}",0.703130714651452,0.32625,274.2857142857143,17,0,17,0
"(2, 2)",side_rows,False,286,14,{'G3': 14},112,174,"{'G2': 4, 'G3': 2, 'G4': 40, 'G5': 50, 'G1': 16}","{'G2': 96, 'G3': 14, 'G1': 64}",0.6994733377221857,0.32499999999999996,150.0,16,0,16,0
"(2, 2)",side_rows,False,277,23,{'G3': 23},148,129,"{'G2': 63, 'G3': 2, 'G5': 50, 'G4': 33}","{'G2': 37, 'G3': 5, 'G4': 7, 'G1': 80}",0.6665569453587887,0.31375,156.25,7,0,7,0
"(3, 3)",checker,True,286,14,{'G3': 14},143,143,"{'G2': 50, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 40}",0.6994733377221857,0.325,150.0,16,0,16,0
"(3, 3)",checker,True,284,16,{'G3': 16},142,142,"{'G2': 50, 'G3': 7, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 7, 'G4': 20, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,150.0,14,0,14,0
"(3, 3)",checker,True,272,28,"{'G3': 24, 'G4': 4}",136,136,"{'G2': 50, 'G3': 3, 'G5': 25, 'G4': 18, 'G1': 40}","{'G2': 50, 'G3': 3, 'G5': 25, 'G4': 18, 'G1': 40}",0.6378204123431247,0.30416666666666664,156.25,6,0,6,0
"(3, 3)",checker,False,277,23,{'G3': 23},119,158,"{'G2': 37, 'G3': 3, 'G4': 40, 'G5': 39}","{'G2': 63, 'G3': 4, 'G5': 11, 'G1': 80}",0.6665569453587887,0.31375,205.71428571428572,7,0,7,0
"(3, 3)",checker,False,282,18,{'G3': 18},111,171,"{'G2': 10, 'G3': 3, 'G4': 40, 'G5': 39, 'G1': 19}","{'G2': 90, 'G3': 9, 'G5': 11, 'G1': 61}",0.6848438300051203,0.32,128.0,12,0,12,0
"(3, 3)",checker,False,279,21,{'G3': 21},189,90,"{'G2': 94, 'G3': 3, 'G5': 50, 'G4': 8, 'G1': 34}","{'G2': 6, 'G3': 6, 'G4': 32, 'G1': 46}",0.6738716992173213,0.31625,156.25,9,3,6,0
"(3, 3)",front_rows,True,284,16,{'G3': 16},142,142,"{'G2': 50, 'G3': 7, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 7, 'G4': 20, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,144.48979591836735,14,0,14,0
"(3, 3)",front_rows,True,284,16,{'G3': 16},142,142,"{'G2': 50, 'G3': 7, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 7, 'G4': 20, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,150.0,14,0,14,0
"(3, 3)",front_rows,True,276,24,{'G3': 24},138,138,"{'G2': 50, 'G3': 3, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 3, 'G5': 25, 'G4': 20, 'G1': 40}",0.6628995684295224,0.3125,192.0,6,0,6,0
"(3, 3)",front_rows,False,282,18,{'G3': 18},116,166,"{'G2': 34, 'G3': 3, 'G4': 40, 'G5': 39}","{'G2': 66, 'G3': 9, 'G5': 11, 'G1': 80}",0.6848438300051203,0.32,205.71428571428572,12,0,12,0
"(3, 3)",front_rows,False,286,14,{'G3': 14},112,174,"{'G2': 10, 'G3': 3, 'G4': 40, 'G5': 39, 'G1': 20}","{'G2': 90, 'G3': 13, 'G5': 11, 'G1': 60}",0.6994733377221856,0.32499999999999996,128.0,16,0,16,0
"(3, 3)",front_rows,False,276,24,{'G3': 24},172,104,"{'G2': 94, 'G3': 3, 'G5': 50, 'G4': 24, 'G1': 1}","{'G2': 6, 'G3': 3, 'G4': 16, 'G1': 79}",0.6628995684295224,0.3125,156.25,6,0,6,0
"(3, 3)",side_rows,True,280,20,{'G3': 20},140,140,"{'G2': 50, 'G3': 5, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 5, 'G4': 20, 'G5': 25, 'G1': 40}",0.6775290761465876,0.3175,205.71428571428572,10,0,10,0
"(3, 3)",side_rows,True,288,12,{'G3': 12},144,144,"{'G2': 50, 'G3': 9, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 9, 'G4': 20, 'G5': 25, 'G1': 40}",0.7067880915807183,0.3275,150.0,18,0,18,0
"(3, 3)",side_rows,True,276,24,{'G3': 24},138,138,"{'G2': 50, 'G3': 3, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 3, 'G5': 25, 'G4': 20, 'G1': 40}",0.6628995684295224,0.3125,156.25,6,0,6,0
"(3, 3)",side_rows,False,281,19,{'G3': 19},116,165,"{'G2': 33, 'G3': 3, 'G4': 40, 'G5': 40}","{'G2': 67, 'G3': 8, 'G5': 10, 'G1': 80}",0.681186453075854,0.31875,274.2857142857143,11,0,11,0
"(3, 3)",side_rows,False,285,15,{'G3': 15},109,176,"{'G2': 7, 'G3': 3, 'G4': 40, 'G5': 40, 'G1': 19}","{'G2': 93, 'G3': 12, 'G5': 10, 'G1': 61}",0.6958159607929193,0.32375,150.0,15,0,15,0
"(3, 3)",side_rows,False,282,18,{'G3': 18},146,136,"{'G2': 63, 'G3': 3, 'G5': 50, 'G4': 30}","{'G2': 37, 'G3': 9, 'G4': 10, 'G1': 80}",0.6848438300051203,0.32,205.71428571428572,12,0,12,0
"(4, 4)",checker,True,278,22,{'G3': 22},139,139,"{'G2': 50, 'G3': 4, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 4, 'G4': 20, 'G5': 25, 'G1': 40}",0.670214322288055,0.315,137.14285714285714,8,0,8,0
"(4, 4)",checker,True,280,20,{'G3': 20},140,140,"{'G2': 50, 'G3': 5, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 5, 'G4': 20, 'G5': 25, 'G1': 40}",0.6775290761465876,0.3175,150.0,10,0,10,0
"(4, 4)",checker,True,268,32,"{'G3': 22, 'G4': 10}",134,134,"{'G2': 50, 'G3': 4, 'G5': 25, 'G4': 15, 'G1': 40}","{'G2': 50, 'G3': 4, 'G5': 25, 'G4': 15, 'G1': 40}",0.6075164320720607,0.2941666666666667,192.0,8,0,8,0
"(4, 4)",checker,False,279,21,{'G3': 21},158,121,"{'G2': 80, 'G3': 4, 'G4': 24, 'G5': 50}","{'G2': 20, 'G3': 5, 'G4': 16, 'G1': 80}",0.6738716992173213,0.31625,112.5,9,0,9,0
"(4, 4)",checker,False,287,13,{'G3': 13},148,139,"{'G2': 13, 'G3': 4, 'G4': 24, 'G5': 50, 'G1': 57}","{'G2': 87, 'G3': 13, 'G4': 16, 'G1': 23}",0.703130714651452,0.32625,150.0,17,0,17,0
"(4, 4)",checker,False,274,26,"{'G3': 21, 'G4': 5}",175,99,"{'G2': 92, 'G3': 4, 'G5': 50, 'G4': 11, 'G1': 18}","{'G2': 8, 'G3': 5, 'G4': 24, 'G1': 62}",0.6425227541093242,0.30583333333333335,156.25,9,0,9,0
"(4, 4)",front_rows,True,278,22,{'G3': 22},139,139,"{'G2': 50, 'G3': 4, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 4, 'G4': 20, 'G5': 25, 'G1': 40}",0.670214322288055,0.315,137.14285714285714,8,0,8,0
"(4, 4)",front_rows,True,286,14,{'G3': 14},143,143,"{'G2': 50, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 40}",0.6994733377221857,0.325,150.0,16,0,16,0
"(4, 4)",front_rows,True,264,36,"{'G1': 14, 'G3': 22}",132,132,"{'G2': 50, 'G3': 4, 'G5': 25, 'G4': 20, 'G1': 33}","{'G2': 50, 'G3': 4, 'G5': 25, 'G4': 20, 'G1': 33}",0.6438812083973374,0.301,192.0,8,0,8,0
"(4, 4)",front_rows,False,281,19,{'G3': 19},110,171,"{'G2': 25, 'G3': 4, 'G4': 36, 'G5': 45}","{'G2': 75, 'G3': 7, 'G4': 4, 'G5': 5, 'G1': 80}",0.681186453075854,0.31875,150.0,11,0,11,0
"(4, 4)",front_rows,False,285,15,{'G3': 15},111,174,"{'G2': 11, 'G3': 4, 'G4': 36, 'G5': 45, 'G1': 15}","{'G2': 89, 'G3': 11, 'G4': 4, 'G5': 5, 'G1': 65}",0.6958159607929193,0.32375,150.0,15,0,15,0
"(4, 4)",front_rows,False,280,20,{'G3': 20},151,129,"{'G2': 72, 'G3': 4, 'G5': 50, 'G4': 25}","{'G2': 28, 'G3': 6, 'G4': 15, 'G1': 80}",0.6775290761465876,0.3175,156.25,10,0,10,0
"(4, 4)",side_rows,True,282,18,{'G3': 18},141,141,"{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}",0.6848438300051203,0.32,205.71428571428572,12,0,12,0
"(4, 4)",side_rows,True,292,8,{'G3': 8},146,146,"{'G2': 50, 'G3': 11, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 11, 'G4': 20, 'G5': 25, 'G1': 40}",0.7214175992977836,0.3325,150.0,22,0,22,0
"(4, 4)",side_rows,True,278,22,{'G3': 22},139,139,"{'G2': 50, 'G3': 4, 'G5': 25, 'G4': 20, 'G1': 40}","{'G2': 50, 'G3': 4, 'G5': 25, 'G4': 20, 'G1': 40}",0.670214322288055,0.315,156.25,8,0,8,0
"(4, 4)",side_rows,False,281,19,{'G3': 19},110,171,"{'G2': 29, 'G3': 4, 'G4': 40, 'G5': 37}","{'G2': 71, 'G3': 7, 'G5': 13, 'G1': 80}",0.681186453075854,0.31875,200.0,11,0,11,0
"(4, 4)",side_rows,False,293,7,{'G3': 7},105,188,"{'G2': 10, 'G3': 4, 'G4': 40, 'G5': 37, 'G1': 14}","{'G2': 90, 'G3': 19, 'G5': 13, 'G1': 66}",0.72507497622705,0.33375,150.0,23,0,23,0
"(4, 4)",side_rows,False,283,17,{'G3': 17},145,138,"{'G2': 64, 'G3': 4, 'G5': 50, 'G4': 27}","{'G2': 36, 'G3': 9, 'G4': 13, 'G1': 80}",0.6885012069343867,0.32125000000000004,205.71428571428572,13,0,13,0
"(6, 6)",checker,True,274,26,"{'G3': 18, 'G4': 8}",137,137,"{'G2': 50, 'G3': 6, 'G4': 16, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 6, 'G4': 16, 'G5': 25, 'G1': 40}",0.634685517832325,0.30333333333333334,137.14285714285714,12,0,12,0
"(6, 6)",checker,True,280,20,"{'G3': 14, 'G4': 6}",140,140,"{'G2': 50, 'G3': 8, 'G4': 17, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 8, 'G4': 17, 'G5': 25, 'G1': 40}",0.6618546035925891,0.3125,200.0,16,0,16,0
