vehicle_id,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
sa-V1-1,G5-001,G5,directed,0,0,0,40,40,60,18,floor
sa-V1-1,G5-002,G5,directed,40,0,0,40,40,60,18,floor
sa-V1-1,G5-003,G5,directed,80,0,0,40,40,60,18,floor
sa-V1-1,G5-004,G5,directed,120,0,0,40,40,60,18,floor
sa-V1-1,G5-005,G5,directed,160,0,0,40,40,60,18,floor
sa-V1-1,G5-006,G5,directed,200,0,0,40,40,60,18,floor
sa-V1-1,G5-007,G5,directed,240,0,0,40,40,60,18,floor
sa-V1-1,G5-008,G5,directed,280,0,0,40,40,60,18,floor
sa-V1-1,G5-009,G5,directed,320,0,0,40,40,60,18,floor
sa-V1-1,G5-010,G5,directed,360,0,0,40,40,60,18,floor
sa-V1-1,G5-011,G5,directed,0,40,0,40,40,60,18,floor
sa-V1-1,G5-012,G5,directed,40,40,0,40,40,60,18,floor
sa-V1-1,G5-013,G5,directed,80,40,0,40,40,60,18,floor
sa-V1-1,G5-014,G5,directed,120,40,0,40,40,60,18,floor
sa-V1-1,G5-015,G5,directed,160,40,0,40,40,60,18,floor
sa-V1-1,G5-016,G5,directed,200,40,0,40,40,60,18,floor
sa-V1-1,G5-017,G5,directed,240,40,0,40,40,60,18,floor
sa-V1-1,G5-018,G5,directed,280,40,0,40,40,60,18,floor
sa-V1-1,G5-019,G5,directed,320,40,0,40,40,60,18,floor
sa-V1-1,G5-020,G5,directed,360,40,0,40,40,60,18,floor
sa-V1-1,G5-021,G5,directed,0,80,0,40,40,60,18,floor
sa-V1-1,G5-022,G5,directed,40,80,0,40,40,60,18,floor
sa-V1-1,G5-023,G5,directed,80,80,0,40,40,60,18,floor
sa-V1-1,G5-024,G5,directed,120,80,0,40,40,60,18,floor
sa-V1-1,G5-025,G5,directed,160,80,0,40,40,60,18,floor
sa-V1-1,G5-026,G5,directed,200,80,0,40,40,60,18,floor
sa-V1-1,G5-027,G5,directed,240,80,0,40,40,60,18,floor
sa-V1-1,G5-028,G5,directed,280,80,0,40,40,60,18,floor
sa-V1-1,G5-029,G5,directed,320,80,0,40,40,60,18,floor
sa-V1-1,G5-030,G5,directed,360,80,0,40,40,60,18,floor
sa-V1-1,G5-031,G5,directed,0,120,0,40,40,60,18,floor
sa-V1-1,G5-032,G5,directed,40,120,0,40,40,60,18,floor
