vehicle_id,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
v2-platform-1,G2-100,G2,standard,0,0,0,35,50,25,8,floor
v2-platform-1,G2-099,G2,standard,35,0,0,35,50,25,8,floor
v2-platform-1,G3-030,G3,fragile,0,0,25,70,50,40,15,G2-100|G2-099
v2-platform-1,G2-098,G2,standard,70,0,0,35,50,25,8,floor
v2-platform-1,G2-097,G2,standard,105,0,0,35,50,25,8,floor
v2-platform-1,G3-029,G3,fragile,70,0,25,70,50,40,15,G2-098|G2-097
v2-platform-1,G2-096,G2,standard,140,0,0,35,50,25,8,floor
v2-platform-1,G2-095,G2,standard,175,0,0,35,50,25,8,floor
v2-platform-1,G3-028,G3,fragile,140,0,25,70,50,40,15,G2-096|G2-095
v2-platform-1,G2-094,G2,standard,210,0,0,35,50,25,8,floor
v2-platform-1,G2-093,G2,standard,245,0,0,35,50,25,8,floor
v2-platform-1,G3-027,G3,fragile,210,0,25,70,50,40,15,G2-094|G2-093
v2-platform-1,G2-092,G2,standard,280,0,0,35,50,25,8,floor
v2-platform-1,G2-091,G2,standard,315,0,0,35,50,25,8,floor
v2-platform-1,G3-026,G3,fragile,280,0,25,70,50,40,15,G2-092|G2-091
v2-platform-1,G2-090,G2,standard,350,0,0,35,50,25,8,floor
v2-platform-1,G2-089,G2,standard,385,0,0,35,50,25,8,floor
v2-platform-1,G3-025,G3,fragile,350,0,25,70,50,40,15,G2-090|G2-089
v2-platform-1,G2-088,G2,standard,0,50,0,35,50,25,8,floor
v2-platform-1,G2-087,G2,standard,35,50,0,35,50,25,8,floor
v2-platform-1,G3-024,G3,fragile,0,50,25,70,50,40,15,G2-088|G2-087
v2-platform-1,G2-086,G2,standard,70,50,0,35,50,25,8,floor
v2-platform-1,G2-085,G2,standard,105,50,0,35,50,25,8,floor
v2-platform-1,G3-023,G3,fragile,70,50,25,70,50,40,15,G2-086|G2-085
v2-platform-1,G2-084,G2,standard,140,50,0,35,50,25,8,floor
v2-platform-1,G2-083,G2,standard,175,50,0,35,50,25,8,floor
v2-platform-1,G3-022,G3,fragile,140,50,25,70,50,40,15,G2-084|G2-083
v2-platform-1,G2-082,G2,standard,210,50,0,35,50,25,8,floor
v2-platform-1,G2-081,G2,standard,245,50,0,35,50,25,8,floor
v2-platform-1,G3-021,G3,fragile,210,50,25,70,50,40,15,G2-082|G2-081
v2-platform-1,G2-080,G2,standard,280,50,0,35,50,25,8,floor
v2-platform-1,G2-079,G2,standard,315,50,0,35,50,25,8,floor
v2-platform-1,G3-020,G3,fragile,280,50,25,70,50,40,15,G2-080|G2-079
v2-platform-1,G2-078,G2,standard,350,50,0,35,50,25,8,floor
v2-platform-1,G2-077,G2,standard,385,50,0,35,50,25,8,floor
v2-platform-1,G3-019,G3,fragile,350,50,25,70,50,40,15,G2-078|G2-077
v2-platform-1,G2-076,G2,standard,0,100,0,35,50,25,8,floor
v2-platform-1,G2-075,G2,standard,35,100,0,35,50,25,8,floor
v2-platform-1,G3-018,G3,fragile,0,100,25,70,50,40,15,G2-076|G2-075
v2-platform-1,G2-074,G2,standard,70,100,0,35,50,25,8,floor
v2-platform-1,G2-073,G2,standard,105,100,0,35,50,25,8,floor
v2-platform-1,G3-017,G3,fragile,70,100,25,70,50,40,15,G2-074|G2-073
v2-platform-1,G2-072,G2,standard,140,100,0,35,50,25,8,floor
v2-platform-1,G2-071,G2,standard,175,100,0,35,50,25,8,floor
v2-platform-1,G3-016,G3,fragile,140,100,25,70,50,40,15,G2-072|G2-071
v2-platform-1,G2-070,G2,standard,210,100,0,35,50,25,8,floor
v2-platform-1,G2-069,G2,standard,245,100,0,35,50,25,8,floor
v2-platform-1,G3-015,G3,fragile,210,100,25,70,50,40,15,G2-070|G2-069
v2-platform-1,G2-068,G2,standard,280,100,0,35,50,25,8,floor
v2-platform-1,G2-067,G2,standard,315,100,0,35,50,25,8,floor
v2-platform-1,G3-014,G3,fragile,280,100,25,70,50,40,15,G2-068|G2-067
v2-platform-1,G2-066,G2,standard,350,100,0,35,50,25,8,floor
v2-platform-1,G2-065,G2,standard,385,100,0,35,50,25,8,floor
v2-platform-1,G3-013,G3,fragile,350,100,25,70,50,40,15,G2-066|G2-065
v2-platform-1,G2-064,G2,standard,0,150,0,35,50,25,8,floor
v2-platform-1,G2-063,G2,standard,35,150,0,35,50,25,8,floor
v2-platform-1,G3-012,G3,fragile,0,150,25,70,50,40,15,G2-064|G2-063
v2-platform-1,G2-062,G2,standard,70,150,0,35,50,25,8,floor
v2-platform-1,G2-061,G2,standard,105,150,0,35,50,25,8,floor
v2-platform-1,G3-011,G3,fragile,70,150,25,70,50,40,15,G2-062|G2-061
v2-platform-1,G2-060,G2,standard,140,150,0,35,50,25,8,floor
v2-platform-1,G2-059,G2,standard,175,150,0,35,50,25,8,floor
v2-platform-1,G3-010,G3,fragile,140,150,25,70,50,40,15,G2-060|G2-059
v2-platform-1,G2-058,G2,standard,210,150,0,35,50,25,8,floor
v2-platform-1,G2-057,G2,standard,245,150,0,35,50,25,8,floor
v2-platform-1,G3-009,G3,fragile,210,150,25,70,50,40,15,G2-058|G2-057
v2-platform-1,G2-056,G2,standard,280,150,0,35,50,25,8,floor
v2-platform-1,G2-055,G2,standard,315,150,0,35,50,25,8,floor
v2-platform-1,G3-008,G3,fragile,280,150,25,70,50,40,15,G2-056|G2-055
v2-platform-1,G2-054,G2,standard,350,150,0,35,50,25,8,floor
v2-platform-1,G2-053,G2,standard,385,150,0,35,50,25,8,floor
v2-platform-1,G3-007,G3,fragile,350,150,25,70,50,40,15,G2-054|G2-053
v2-platform-1,G2-001,G2,standard,420,0,0,50,35,25,8,floor
v2-platform-1,G2-002,G2,standard,470,0,0,50,35,25,8,floor
v2-platform-1,G2-003,G2,standard,520,0,0,50,35,25,8,floor
v2-platform-1,G2-004,G2,standard,570,0,0,50,35,25,8,floor
v2-platform-1,G2-005,G2,standard,620,0,0,50,35,25,8,floor
v2-platform-1,G2-006,G2,standard,420,35,0,50,35,25,8,floor
v2-platform-1,G2-007,G2,standard,470,35,0,50,35,25,8,floor
v2-platform-1,G2-008,G2,standard,520,35,0,50,35,25,8,floor
v2-platform-1,G2-009,G2,standard,570,35,0,50,35,25,8,floor
v2-platform-1,G2-010,G2,standard,620,35,0,50,35,25,8,floor
v2-platform-1,G2-011,G2,standard,420,70,0,50,35,25,8,floor
v2-platform-1,G2-012,G2,standard,470,70,0,50,35,25,8,floor
v2-platform-1,G2-013,G2,standard,520,70,0,50,35,25,8,floor
v2-platform-1,G2-014,G2,standard,570,70,0,50,35,25,8,floor
v2-platform-1,G2-015,G2,standard,620,70,0,50,35,25,8,floor
v2-platform-1,G2-016,G2,standard,420,105,0,50,35,25,8,floor
v2-platform-1,G2-017,G2,standard,470,105,0,50,35,25,8,floor
v2-platform-1,G2-018,G2,standard,520,105,0,50,35,25,8,floor
v2-platform-1,G2-019,G2,standard,570,105,0,50,35,25,8,floor
v2-platform-1,G2-020,G2,standard,620,105,0,50,35,25,8,floor
v2-platform-1,G2-021,G2,standard,420,140,0,50,35,25,8,floor
v2-platform-1,G2-022,G2,standard,470,140,0,50,35,25,8,floor
v2-platform-1,G2-023,G2,standard,520,140,0,50,35,25,8,floor
v2-platform-1,G2-024,G2,standard,570,140,0,50,35,25,8,floor
v2-platform-1,G2-025,G2,standard,620,140,0,50,35,25,8,floor
v2-platform-1,G2-026,G2,standard,420,175,0,50,35,25,8,floor
v2-platform-1,G2-027,G2,standard,470,175,0,50,35,25,8,floor
v2-platform-1,G2-028,G2,standard,520,175,0,50,35,25,8,floor
v2-platform-1,G2-029,G2,standard,570,175,0,50,35,25,8,floor
v2-platform-1,G2-030,G2,standard,620,175,0,50,35,25,8,floor
v2-platform-1,G2-031,G2,standard,0,200,0,50,35,25,8,floor
v2-platform-1,G2-032,G2,standard,50,200,0,50,35,25,8,floor
v2-platform-1,G2-033,G2,standard,100,200,0,50,35,25,8,floor
v2-platform-1,G2-034,G2,standard,150,200,0,50,35,25,8,floor
v2-platform-1,G2-035,G2,standard,200,200,0,50,35,25,8,floor
v2-platform-1,G2-036,G2,standard,250,200,0,50,35,25,8,floor
v2-platform-1,G2-037,G2,standard,300,200,0,50,35,25,8,floor
v2-platform-1,G2-038,G2,standard,350,200,0,50,35,25,8,floor
v2-platform-1,G2-039,G2,standard,420,210,0,50,35,25,8,floor
v2-platform-1,G2-040,G2,standard,470,210,0,50,35,25,8,floor
v2-platform-1,G2-041,G2,standard,520,210,0,50,35,25,8,floor
v2-platform-1,G2-042,G2,standard,570,210,0,50,35,25,8,floor
v2-platform-1,G2-043,G2,standard,620,210,0,50,35,25,8,floor
v2-platform-1,G2-044,G2,standard,420,0,25,50,35,25,8,G2-001
v2-platform-1,G2-045,G2,standard,470,0,25,50,35,25,8,G2-002
v2-platform-1,G2-046,G2,standard,520,0,25,50,35,25,8,G2-003
v2-platform-1,G2-047,G2,standard,570,0,25,50,35,25,8,G2-004
v2-platform-1,G2-048,G2,standard,620,0,25,50,35,25,8,G2-005
v2-platform-1,G2-049,G2,standard,420,35,25,50,35,25,8,G2-006
v2-platform-1,G2-050,G2,standard,470,35,25,50,35,25,8,G2-007
v2-platform-1,G2-051,G2,standard,520,35,25,50,35,25,8,G2-008
v2-platform-1,G2-052,G2,standard,570,35,25,50,35,25,8,G2-009
v2-platform-1,G1-001,G1,standard,620,35,25,60,40,30,12,G2-010
v2-platform-1,G1-002,G1,standard,420,70,25,60,40,30,12,G2-011
v2-platform-1,G1-003,G1,standard,480,70,25,60,40,30,12,G2-012
v2-platform-1,G1-004,G1,standard,540,70,25,60,40,30,12,G2-013
v2-platform-1,G1-005,G1,standard,620,75,25,60,40,30,12,G2-015
v2-platform-1,G1-006,G1,standard,420,110,25,60,40,30,12,G2-016
v2-platform-1,G1-007,G1,standard,480,110,25,60,40,30,12,G2-017
v2-platform-1,G1-008,G1,standard,540,110,25,60,40,30,12,G2-018
v2-platform-1,G1-009,G1,standard,620,115,25,60,40,30,12,G2-020
v2-platform-1,G1-010,G1,standard,420,150,25,60,40,30,12,G2-021
v2-platform-1,G1-011,G1,standard,480,150,25,60,40,30,12,G2-022
v2-platform-1,G1-012,G1,standard,540,150,25,60,40,30,12,G2-023
v2-platform-1,G1-013,G1,standard,620,155,25,60,40,30,12,G2-025
v2-platform-1,G1-014,G1,standard,420,190,25,60,40,30,12,G2-026
v2-platform-1,G1-015,G1,standard,480,190,25,60,40,30,12,G2-027
v2-platform-1,G1-016,G1,standard,540,190,25,60,40,30,12,G2-028
v2-platform-1,G1-017,G1,standard,620,195,25,60,40,30,12,G2-043
v2-platform-1,G1-018,G1,standard,0,200,25,60,40,30,12,G2-031
v2-platform-1,G1-019,G1,standard,60,200,25,60,40,30,12,G2-032
v2-platform-1,G1-020,G1,standard,120,200,25,60,40,30,12,G2-033
v2-platform-1,G1-021,G1,standard,180,200,25,60,40,30,12,G2-035
v2-platform-1,G1-022,G1,standard,240,200,25,60,40,30,12,G2-036
v2-platform-1,G1-023,G1,standard,300,200,25,60,40,30,12,G2-037
v2-platform-1,G1-024,G1,standard,360,200,25,60,40,30,12,G2-038
v2-platform-1,G1-025,G1,standard,420,0,50,60,40,30,12,G2-044
v2-platform-1,G1-026,G1,standard,480,0,50,60,40,30,12,G2-045
v2-platform-1,G1-027,G1,standard,540,0,50,60,40,30,12,G2-046
