vehicle_id,vehicle_code,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
ga-1-V2,V2,G4-001,G4,directed,0,0,0,80,60,50,25,floor
ga-1-V2,V2,G4-002,G4,directed,80,0,0,80,60,50,25,floor
ga-1-V2,V2,G4-003,G4,directed,160,0,0,80,60,50,25,floor
ga-1-V2,V2,G4-004,G4,directed,240,0,0,80,60,50,25,floor
ga-1-V2,V2,G4-005,G4,directed,320,0,0,80,60,50,25,floor
ga-1-V2,V2,G4-006,G4,directed,400,0,0,80,60,50,25,floor
ga-1-V2,V2,G4-007,G4,directed,480,0,0,80,60,50,25,floor
ga-1-V2,V2,G4-008,G4,directed,560,0,0,80,60,50,25,floor
ga-1-V2,V2,G4-009,G4,directed,0,60,0,80,60,50,25,floor
ga-1-V2,V2,G4-010,G4,directed,80,60,0,80,60,50,25,floor
ga-1-V2,V2,G4-011,G4,directed,160,60,0,80,60,50,25,floor
ga-1-V2,V2,G4-012,G4,directed,240,60,0,80,60,50,25,floor
ga-1-V2,V2,G4-013,G4,directed,320,60,0,80,60,50,25,floor
ga-1-V2,V2,G4-014,G4,directed,400,60,0,80,60,50,25,floor
ga-1-V2,V2,G4-015,G4,directed,480,60,0,80,60,50,25,floor
ga-1-V2,V2,G4-016,G4,directed,560,60,0,80,60,50,25,floor
ga-1-V2,V2,G4-017,G4,directed,0,120,0,80,60,50,25,floor
ga-1-V2,V2,G4-018,G4,directed,80,120,0,80,60,50,25,floor
ga-1-V2,V2,G4-019,G4,directed,160,120,0,80,60,50,25,floor
ga-1-V2,V2,G4-020,G4,directed,240,120,0,80,60,50,25,floor
ga-1-V2,V2,G4-021,G4,directed,320,120,0,80,60,50,25,floor
ga-1-V2,V2,G4-022,G4,directed,400,120,0,80,60,50,25,floor
ga-1-V2,V2,G4-023,G4,directed,480,120,0,80,60,50,25,floor
ga-1-V2,V2,G4-024,G4,directed,560,120,0,80,60,50,25,floor
ga-1-V2,V2,G4-025,G4,directed,0,180,0,80,60,50,25,floor
ga-1-V2,V2,G4-026,G4,directed,80,180,0,80,60,50,25,floor
ga-1-V2,V2,G4-027,G4,directed,160,180,0,80,60,50,25,floor
ga-1-V2,V2,G4-028,G4,directed,240,180,0,80,60,50,25,floor
ga-1-V2,V2,G4-029,G4,directed,320,180,0,80,60,50,25,floor
ga-1-V2,V2,G4-030,G4,directed,400,180,0,80,60,50,25,floor
ga-1-V2,V2,G4-031,G4,directed,480,180,0,80,60,50,25,floor
ga-1-V2,V2,G4-032,G4,directed,560,180,0,80,60,50,25,floor
ga-1-V2,V2,G4-033,G4,directed,0,0,50,80,60,50,25,G4-001
ga-1-V2,V2,G4-034,G4,directed,80,0,50,80,60,50,25,G4-002
ga-1-V2,V2,G4-035,G4,directed,160,0,50,80,60,50,25,G4-003
ga-1-V2,V2,G4-036,G4,directed,240,0,50,80,60,50,25,G4-004
ga-1-V2,V2,G4-037,G4,directed,320,0,50,80,60,50,25,G4-005
ga-1-V2,V2,G4-038,G4,directed,400,0,50,80,60,50,25,G4-006
ga-1-V2,V2,G4-039,G4,directed,480,0,50,80,60,50,25,G4-007
ga-1-V2,V2,G4-040,G4,directed,560,0,50,80,60,50,25,G4-008
ga-1-V2,V2,G5-001,G5,directed,640,0,0,40,40,60,18,floor
ga-1-V2,V2,G5-002,G5,directed,640,40,0,40,40,60,18,floor
ga-1-V2,V2,G5-003,G5,directed,640,80,0,40,40,60,18,floor
ga-1-V2,V2,G5-004,G5,directed,640,120,0,40,40,60,18,floor
ga-1-V2,V2,G5-005,G5,directed,640,160,0,40,40,60,18,floor
ga-1-V2,V2,G5-006,G5,directed,640,200,0,40,40,60,18,floor
ga-1-V2,V2,G5-007,G5,directed,0,60,50,40,40,60,18,G4-009
ga-1-V2,V2,G5-008,G5,directed,40,60,50,40,40,60,18,G4-009
ga-1-V2,V2,G5-009,G5,directed,80,60,50,40,40,60,18,G4-010
ga-1-V2,V2,G5-010,G5,directed,120,60,50,40,40,60,18,G4-010
ga-1-V2,V2,G5-011,G5,directed,160,60,50,40,40,60,18,G4-011
ga-1-V2,V2,G5-012,G5,directed,200,60,50,40,40,60,18,G4-011
ga-1-V2,V2,G5-013,G5,directed,240,60,50,40,40,60,18,G4-012
ga-1-V2,V2,G5-014,G5,directed,280,60,50,40,40,60,18,G4-012
ga-1-V2,V2,G5-015,G5,directed,320,60,50,40,40,60,18,G4-013
ga-1-V2,V2,G5-016,G5,directed,360,60,50,40,40,60,18,G4-013
ga-1-V2,V2,G5-017,G5,directed,400,60,50,40,40,60,18,G4-014
ga-1-V2,V2,G5-018,G5,directed,440,60,50,40,40,60,18,G4-014
ga-1-V2,V2,G5-019,G5,directed,480,60,50,40,40,60,18,G4-015
ga-1-V2,V2,G5-020,G5,directed,520,60,50,40,40,60,18,G4-015
ga-1-V2,V2,G5-021,G5,directed,560,60,50,40,40,60,18,G4-016
ga-1-V2,V2,G5-022,G5,directed,600,60,50,40,40,60,18,G4-016
ga-1-V2,V2,G5-023,G5,directed,0,100,50,40,40,60,18,G4-009
ga-1-V2,V2,G5-024,G5,directed,40,100,50,40,40,60,18,G4-009
ga-1-V2,V2,G5-025,G5,directed,80,100,50,40,40,60,18,G4-010
ga-1-V2,V2,G5-026,G5,directed,120,100,50,40,40,60,18,G4-010
ga-1-V2,V2,G5-027,G5,directed,160,100,50,40,40,60,18,G4-011
ga-1-V2,V2,G5-028,G5,directed,200,100,50,40,40,60,18,G4-011
ga-1-V2,V2,G5-029,G5,directed,240,100,50,40,40,60,18,G4-012
