vehicle_id,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
V1-single,G4-001,G4,directed,0,0,0,80,60,50,25,floor
V1-single,G4-002,G4,directed,80,0,0,80,60,50,25,floor
V1-single,G4-003,G4,directed,160,0,0,80,60,50,25,floor
V1-single,G4-004,G4,directed,240,0,0,80,60,50,25,floor
V1-single,G4-005,G4,directed,320,0,0,80,60,50,25,floor
V1-single,G4-006,G4,directed,0,60,0,80,60,50,25,floor
V1-single,G4-007,G4,directed,80,60,0,80,60,50,25,floor
V1-single,G4-008,G4,directed,160,60,0,80,60,50,25,floor
V1-single,G4-009,G4,directed,240,60,0,80,60,50,25,floor
V1-single,G4-010,G4,directed,320,60,0,80,60,50,25,floor
V1-single,G4-011,G4,directed,0,120,0,80,60,50,25,floor
V1-single,G4-012,G4,directed,80,120,0,80,60,50,25,floor
V1-single,G4-013,G4,directed,160,120,0,80,60,50,25,floor
V1-single,G4-014,G4,directed,240,120,0,80,60,50,25,floor
V1-single,G4-015,G4,directed,320,120,0,80,60,50,25,floor
V1-single,G4-016,G4,directed,0,0,50,80,60,50,25,G4-001
V1-single,G4-017,G4,directed,80,0,50,80,60,50,25,G4-002
V1-single,G4-018,G4,directed,160,0,50,80,60,50,25,G4-003
V1-single,G4-019,G4,directed,240,0,50,80,60,50,25,G4-004
V1-single,G4-020,G4,directed,320,0,50,80,60,50,25,G4-005
V1-single,G4-021,G4,directed,0,60,50,80,60,50,25,G4-006
V1-single,G4-022,G4,directed,80,60,50,80,60,50,25,G4-007
V1-single,G4-023,G4,directed,160,60,50,80,60,50,25,G4-008
V1-single,G4-024,G4,directed,240,60,50,80,60,50,25,G4-009
V1-single,G4-025,G4,directed,320,60,50,80,60,50,25,G4-010
V1-single,G4-026,G4,directed,0,120,50,80,60,50,25,G4-011
V1-single,G4-027,G4,directed,80,120,50,80,60,50,25,G4-012
V1-single,G4-028,G4,directed,160,120,50,80,60,50,25,G4-013
V1-single,G4-029,G4,directed,240,120,50,80,60,50,25,G4-014
V1-single,G4-030,G4,directed,320,120,50,80,60,50,25,G4-015
V1-single,G4-031,G4,directed,0,0,100,80,60,50,25,G4-016
V1-single,G4-032,G4,directed,80,0,100,80,60,50,25,G4-017
V1-single,G4-033,G4,directed,160,0,100,80,60,50,25,G4-018
V1-single,G4-034,G4,directed,240,0,100,80,60,50,25,G4-019
V1-single,G4-035,G4,directed,320,0,100,80,60,50,25,G4-020
V1-single,G4-036,G4,directed,0,60,100,80,60,50,25,G4-021
V1-single,G4-037,G4,directed,80,60,100,80,60,50,25,G4-022
V1-single,G4-038,G4,directed,160,60,100,80,60,50,25,G4-023
V1-single,G4-039,G4,directed,240,60,100,80,60,50,25,G4-024
V1-single,G4-040,G4,directed,320,60,100,80,60,50,25,G4-025
V1-single,G5-001,G5,directed,0,120,100,40,40,60,18,G4-026
V1-single,G5-002,G5,directed,40,120,100,40,40,60,18,G4-026
V1-single,G5-003,G5,directed,80,120,100,40,40,60,18,G4-027
V1-single,G5-004,G5,directed,120,120,100,40,40,60,18,G4-027
V1-single,G5-005,G5,directed,160,120,100,40,40,60,18,G4-028
V1-single,G5-006,G5,directed,200,120,100,40,40,60,18,G4-028
V1-single,G5-007,G5,directed,240,120,100,40,40,60,18,G4-029
V1-single,G5-008,G5,directed,280,120,100,40,40,60,18,G4-029
V1-single,G5-009,G5,directed,320,120,100,40,40,60,18,G4-030
V1-single,G5-010,G5,directed,360,120,100,40,40,60,18,G4-030
V1-single,G5-011,G5,directed,0,160,100,40,40,60,18,G4-026
V1-single,G5-012,G5,directed,40,160,100,40,40,60,18,G4-026
V1-single,G5-013,G5,directed,80,160,100,40,40,60,18,G4-027
V1-single,G5-014,G5,directed,120,160,100,40,40,60,18,G4-027
V1-single,G5-015,G5,directed,160,160,100,40,40,60,18,G4-028
V1-single,G5-016,G5,directed,200,160,100,40,40,60,18,G4-028
V1-single,G5-017,G5,directed,240,160,100,40,40,60,18,G4-029
V1-single,G5-018,G5,directed,280,160,100,40,40,60,18,G4-029
V1-single,G5-019,G5,directed,320,160,100,40,40,60,18,G4-030
V1-single,G5-020,G5,directed,360,160,100,40,40,60,18,G4-030
V1-single,G5-021,G5,directed,0,0,150,40,40,60,18,G4-031
V1-single,G5-022,G5,directed,40,0,150,40,40,60,18,G4-031
V1-single,G5-023,G5,directed,80,0,150,40,40,60,18,G4-032
V1-single,G5-024,G5,directed,120,0,150,40,40,60,18,G4-032
V1-single,G5-025,G5,directed,160,0,150,40,40,60,18,G4-033
V1-single,G5-026,G5,directed,200,0,150,40,40,60,18,G4-033
V1-single,G5-027,G5,directed,240,0,150,40,40,60,18,G4-034
V1-single,G5-028,G5,directed,280,0,150,40,40,60,18,G4-034
V1-single,G5-029,G5,directed,320,0,150,40,40,60,18,G4-035
V1-single,G5-030,G5,directed,360,0,150,40,40,60,18,G4-035
V1-single,G5-031,G5,directed,0,40,150,40,40,60,18,G4-031
V1-single,G5-032,G5,directed,40,40,150,40,40,60,18,G4-031
V1-single,G5-033,G5,directed,80,40,150,40,40,60,18,G4-032
V1-single,G5-034,G5,directed,120,40,150,40,40,60,18,G4-032
V1-single,G5-035,G5,directed,160,40,150,40,40,60,18,G4-033
V1-single,G5-036,G5,directed,200,40,150,40,40,60,18,G4-033
V1-single,G5-037,G5,directed,240,40,150,40,40,60,18,G4-034
V1-single,G5-038,G5,directed,280,40,150,40,40,60,18,G4-034
V1-single,G5-039,G5,directed,320,40,150,40,40,60,18,G4-035
V1-single,G5-040,G5,directed,360,40,150,40,40,60,18,G4-035
V1-single,G5-041,G5,directed,0,80,150,40,40,60,18,G4-036
V1-single,G5-042,G5,directed,40,80,150,40,40,60,18,G4-036
V1-single,G5-043,G5,directed,80,80,150,40,40,60,18,G4-037
V1-single,G5-044,G5,directed,120,80,150,40,40,60,18,G4-037
V1-single,G5-045,G5,directed,160,80,150,40,40,60,18,G4-038
V1-single,G5-046,G5,directed,200,80,150,40,40,60,18,G4-038
V1-single,G5-047,G5,directed,240,80,150,40,40,60,18,G4-039
V1-single,G5-048,G5,directed,280,80,150,40,40,60,18,G4-039
V1-single,G5-049,G5,directed,320,80,150,40,40,60,18,G4-040
V1-single,G5-050,G5,directed,360,80,150,40,40,60,18,G4-040
V1-single,G1-001,G1,standard,0,180,0,60,30,40,12,floor
V1-single,G1-002,G1,standard,60,180,0,60,30,40,12,floor
V1-single,G1-003,G1,standard,120,180,0,60,30,40,12,floor
V1-single,G1-004,G1,standard,180,180,0,60,30,40,12,floor
V1-single,G1-005,G1,standard,240,180,0,60,30,40,12,floor
V1-single,G1-006,G1,standard,300,180,0,60,30,40,12,floor
V1-single,G1-007,G1,standard,360,180,0,60,30,40,12,floor
V1-single,G1-008,G1,standard,0,180,40,60,30,40,12,G1-001
V1-single,G1-009,G1,standard,60,180,40,60,30,40,12,G1-002
V1-single,G1-010,G1,standard,120,180,40,60,30,40,12,G1-003
V1-single,G1-011,G1,standard,180,180,40,60,30,40,12,G1-004
V1-single,G1-012,G1,standard,240,180,40,60,30,40,12,G1-005
V1-single,G1-013,G1,standard,300,180,40,60,30,40,12,G1-006
V1-single,G1-014,G1,standard,360,180,40,60,30,40,12,G1-007
V1-single,G1-015,G1,standard,0,120,160,60,40,30,12,G5-001
V1-single,G1-016,G1,standard,60,120,160,60,40,30,12,G5-003
V1-single,G1-017,G1,standard,120,120,160,60,40,30,12,G5-004
V1-single,G1-018,G1,standard,180,120,160,60,40,30,12,G5-006
V1-single,G1-019,G1,standard,240,120,160,60,40,30,12,G5-007
V1-single,G1-020,G1,standard,300,120,160,60,40,30,12,G5-009
V1-single,G1-021,G1,standard,360,120,160,60,40,30,12,G5-010
V1-single,G1-022,G1,standard,0,160,160,60,40,30,12,G5-011
V1-single,G1-023,G1,standard,60,160,160,60,40,30,12,G5-013
V1-single,G1-024,G1,standard,120,160,160,60,40,30,12,G5-014
V1-single,G1-025,G1,standard,180,160,160,60,40,30,12,G5-016
V1-single,G1-026,G1,standard,240,160,160,60,40,30,12,G5-017
V1-single,G1-027,G1,standard,300,160,160,60,40,30,12,G5-019
V1-single,G1-028,G1,standard,360,160,160,60,40,30,12,G5-020
V1-single,G2-001,G2,standard,0,120,190,50,35,25,8,G1-015
V1-single,G2-002,G2,standard,50,120,190,50,35,25,8,G1-016
V1-single,G2-003,G2,standard,100,120,190,50,35,25,8,G1-017
V1-single,G2-004,G2,standard,150,120,190,50,35,25,8,G1-017
V1-single,G2-005,G2,standard,200,120,190,50,35,25,8,G1-018
V1-single,G2-006,G2,standard,250,120,190,50,35,25,8,G1-019
V1-single,G2-007,G2,standard,300,120,190,50,35,25,8,G1-020
V1-single,G2-008,G2,standard,350,120,190,50,35,25,8,G1-021
V1-single,G2-009,G2,standard,0,155,190,50,35,25,8,G1-022
V1-single,G2-010,G2,standard,50,155,190,50,35,25,8,G1-023
V1-single,G2-011,G2,standard,100,155,190,50,35,25,8,G1-024
