vehicle_id,vehicle_code,uid,goods_code,label,x_cm,y_cm,z_cm,length_cm,width_cm,height_cm,weight_kg,support
min_vehicle-1-V1,V1,G4-001,G4,directed,0,0,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-002,G4,directed,80,0,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-003,G4,directed,160,0,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-004,G4,directed,240,0,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-005,G4,directed,320,0,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-006,G4,directed,0,60,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-007,G4,directed,80,60,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-008,G4,directed,160,60,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-009,G4,directed,240,60,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-010,G4,directed,320,60,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-011,G4,directed,0,120,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-012,G4,directed,80,120,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-013,G4,directed,160,120,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-014,G4,directed,240,120,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-015,G4,directed,320,120,0,80,60,50,25,floor
min_vehicle-1-V1,V1,G4-016,G4,directed,0,0,50,80,60,50,25,G4-001
min_vehicle-1-V1,V1,G4-017,G4,directed,80,0,50,80,60,50,25,G4-002
min_vehicle-1-V1,V1,G4-018,G4,directed,160,0,50,80,60,50,25,G4-003
min_vehicle-1-V1,V1,G4-019,G4,directed,240,0,50,80,60,50,25,G4-004
min_vehicle-1-V1,V1,G4-020,G4,directed,320,0,50,80,60,50,25,G4-005
min_vehicle-1-V1,V1,G4-021,G4,directed,0,60,50,80,60,50,25,G4-006
min_vehicle-1-V1,V1,G4-022,G4,directed,80,60,50,80,60,50,25,G4-007
min_vehicle-1-V1,V1,G4-023,G4,directed,160,60,50,80,60,50,25,G4-008
min_vehicle-1-V1,V1,G4-024,G4,directed,240,60,50,80,60,50,25,G4-009
min_vehicle-1-V1,V1,G4-025,G4,directed,320,60,50,80,60,50,25,G4-010
min_vehicle-1-V1,V1,G4-026,G4,directed,0,120,50,80,60,50,25,G4-011
min_vehicle-1-V1,V1,G4-027,G4,directed,80,120,50,80,60,50,25,G4-012
min_vehicle-1-V1,V1,G4-028,G4,directed,160,120,50,80,60,50,25,G4-013
min_vehicle-1-V1,V1,G4-029,G4,directed,240,120,50,80,60,50,25,G4-014
min_vehicle-1-V1,V1,G4-030,G4,directed,320,120,50,80,60,50,25,G4-015
min_vehicle-1-V1,V1,G4-031,G4,directed,0,0,100,80,60,50,25,G4-016
min_vehicle-1-V1,V1,G4-032,G4,directed,80,0,100,80,60,50,25,G4-017
min_vehicle-1-V1,V1,G4-033,G4,directed,160,0,100,80,60,50,25,G4-018
min_vehicle-1-V1,V1,G4-034,G4,directed,240,0,100,80,60,50,25,G4-019
min_vehicle-1-V1,V1,G4-035,G4,directed,320,0,100,80,60,50,25,G4-020
min_vehicle-1-V1,V1,G4-036,G4,directed,0,60,100,80,60,50,25,G4-021
min_vehicle-1-V1,V1,G4-037,G4,directed,80,60,100,80,60,50,25,G4-022
min_vehicle-1-V1,V1,G4-038,G4,directed,160,60,100,80,60,50,25,G4-023
min_vehicle-1-V1,V1,G4-039,G4,directed,240,60,100,80,60,50,25,G4-024
min_vehicle-1-V1,V1,G4-040,G4,directed,320,60,100,80,60,50,25,G4-025
min_vehicle-1-V1,V1,G5-001,G5,directed,0,120,100,40,40,60,18,G4-026
min_vehicle-1-V1,V1,G5-002,G5,directed,40,120,100,40,40,60,18,G4-026
min_vehicle-1-V1,V1,G5-003,G5,directed,80,120,100,40,40,60,18,G4-027
min_vehicle-1-V1,V1,G5-004,G5,directed,120,120,100,40,40,60,18,G4-027
min_vehicle-1-V1,V1,G5-005,G5,directed,160,120,100,40,40,60,18,G4-028
min_vehicle-1-V1,V1,G5-006,G5,directed,200,120,100,40,40,60,18,G4-028
min_vehicle-1-V1,V1,G5-007,G5,directed,240,120,100,40,40,60,18,G4-029
min_vehicle-1-V1,V1,G5-008,G5,directed,280,120,100,40,40,60,18,G4-029
min_vehicle-1-V1,V1,G5-009,G5,directed,320,120,100,40,40,60,18,G4-030
min_vehicle-1-V1,V1,G5-010,G5,directed,360,120,100,40,40,60,18,G4-030
min_vehicle-1-V1,V1,G5-011,G5,directed,0,160,100,40,40,60,18,G4-026
min_vehicle-1-V1,V1,G5-012,G5,directed,40,160,100,40,40,60,18,G4-026
min_vehicle-1-V1,V1,G5-013,G5,directed,80,160,100,40,40,60,18,G4-027
min_vehicle-1-V1,V1,G5-014,G5,directed,120,160,100,40,40,60,18,G4-027
min_vehicle-1-V1,V1,G5-015,G5,directed,160,160,100,40,40,60,18,G4-028
min_vehicle-1-V1,V1,G5-016,G5,directed,200,160,100,40,40,60,18,G4-028
min_vehicle-1-V1,V1,G5-017,G5,directed,240,160,100,40,40,60,18,G4-029
min_vehicle-1-V1,V1,G5-018,G5,directed,280,160,100,40,40,60,18,G4-029
min_vehicle-1-V1,V1,G5-019,G5,directed,320,160,100,40,40,60,18,G4-030
min_vehicle-1-V1,V1,G5-020,G5,directed,360,160,100,40,40,60,18,G4-030
min_vehicle-1-V1,V1,G5-021,G5,directed,0,0,150,40,40,60,18,G4-031
min_vehicle-1-V1,V1,G5-022,G5,directed,40,0,150,40,40,60,18,G4-031
min_vehicle-1-V1,V1,G5-023,G5,directed,80,0,150,40,40,60,18,G4-032
min_vehicle-1-V1,V1,G5-024,G5,directed,120,0,150,40,40,60,18,G4-032
min_vehicle-1-V1,V1,G5-025,G5,directed,160,0,150,40,40,60,18,G4-033
min_vehicle-1-V1,V1,G5-026,G5,directed,200,0,150,40,40,60,18,G4-033
min_vehicle-1-V1,V1,G5-027,G5,directed,240,0,150,40,40,60,18,G4-034
min_vehicle-1-V1,V1,G5-028,G5,directed,280,0,150,40,40,60,18,G4-034
min_vehicle-1-V1,V1,G5-029,G5,directed,320,0,150,40,40,60,18,G4-035
min_vehicle-1-V1,V1,G5-030,G5,directed,360,0,150,40,40,60,18,G4-035
min_vehicle-1-V1,V1,G5-031,G5,directed,0,40,150,40,40,60,18,G4-031
min_vehicle-1-V1,V1,G5-032,G5,directed,40,40,150,40,40,60,18,G4-031
min_vehicle-1-V1,V1,G5-033,G5,directed,80,40,150,40,40,60,18,G4-032
min_vehicle-1-V1,V1,G5-034,G5,directed,120,40,150,40,40,60,18,G4-032
min_vehicle-1-V1,V1,G5-035,G5,directed,160,40,150,40,40,60,18,G4-033
min_vehicle-1-V1,V1,G5-036,G5,directed,200,40,150,40,40,60,18,G4-033
min_vehicle-1-V1,V1,G5-037,G5,directed,240,40,150,40,40,60,18,G4-034
min_vehicle-1-V1,V1,G5-038,G5,directed,280,40,150,40,40,60,18,G4-034
min_vehicle-1-V1,V1,G5-039,G5,directed,320,40,150,40,40,60,18,G4-035
min_vehicle-1-V1,V1,G5-040,G5,directed,360,40,150,40,40,60,18,G4-035
min_vehicle-1-V1,V1,G5-041,G5,directed,0,80,150,40,40,60,18,G4-036
min_vehicle-1-V1,V1,G5-042,G5,directed,40,80,150,40,40,60,18,G4-036
min_vehicle-1-V1,V1,G5-043,G5,directed,80,80,150,40,40,60,18,G4-037
